risk_history_id,customer_id,credit_score_band,credit_score,risk_segment,income_band,employment_status,effective_start_date,effective_end_date,is_current
57,50,Very Good,745,Medium,<40K,Newcomer/Temporary,2023-01-01,2099-12-31,True
58,51,Fair,,Low,125K-200K,Employed,2023-01-01,2024-12-31,False
59,51,Good,683,Medium,125K-200K,Employed,2025-01-01,2099-12-31,True
60,52,No Score,,Medium,<40K,Retired,2023-01-01,2099-12-31,True
61,53,Good,685,Low,40K-60K,Newcomer/Temporary,2023-01-01,2099-12-31,True
62,54,Good,676,Medium,125K-200K,Self-employed,2023-01-01,2099-12-31,True
63,55,Excellent,,Low,60K-90K,Employed,2023-01-01,2024-12-31,False
64,55,Fair,595,High,60K-90K,Employed,2025-01-01,2099-12-31,True
65,56,Good,709,Medium,125K-200K,Unemployed,2023-01-01,2099-12-31,True
66,57,Very Good,765,Low,125K-200K,Newcomer/Temporary,2023-01-01,2099-12-31,True
67,58,Very Good,,Low,90K-125K,Employed,2023-01-01,2024-12-31,False
68,58,Good,679,High,90K-125K,Employed,2025-01-01,2099-12-31,True
69,59,Very Good,764,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
70,60,Poor,,Medium,<40K,Employed,2023-01-01,2024-12-31,False
71,60,Very Good,752,Low,<40K,Employed,2025-01-01,2099-12-31,True
72,61,Fair,616,High,90K-125K,Student,2023-01-01,2099-12-31,True
73,62,Fair,592,High,60K-90K,Employed,2023-01-01,2099-12-31,True
74,63,Poor,525,Low,40K-60K,Newcomer/Temporary,2023-01-01,2099-12-31,True
75,64,Fair,636,High,90K-125K,Retired,2023-01-01,2099-12-31,True
76,65,Very Good,752,Medium,90K-125K,Retired,2023-01-01,2099-12-31,True
77,66,Very Good,730,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
78,67,Good,723,Low,<40K,Employed,2023-01-01,2099-12-31,True
79,68,Fair,656,High,<40K,Employed,2023-01-01,2099-12-31,True
80,69,Very Good,752,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
81,70,Good,660,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
82,71,No Score,,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
83,72,Fair,594,High,200K+,Employed,2023-01-01,2099-12-31,True
84,73,Good,712,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
85,74,Excellent,844,Low,90K-125K,Student,2023-01-01,2099-12-31,True
86,75,Very Good,,High,60K-90K,Employed,2023-01-01,2024-12-31,False
87,75,Fair,631,High,60K-90K,Employed,2025-01-01,2099-12-31,True
88,76,Very Good,771,Low,125K-200K,Student,2023-01-01,2099-12-31,True
89,77,Fair,630,High,125K-200K,Employed,2023-01-01,2099-12-31,True
90,78,Excellent,799,Medium,40K-60K,Student,2023-01-01,2099-12-31,True
91,79,Excellent,821,Medium,200K+,Unemployed,2023-01-01,2099-12-31,True
92,80,Fair,634,High,60K-90K,Employed,2023-01-01,2099-12-31,True
93,81,Fair,601,High,60K-90K,Employed,2023-01-01,2099-12-31,True
94,82,Excellent,,Medium,125K-200K,Retired,2023-01-01,2024-12-31,False
95,82,Good,681,Low,125K-200K,Retired,2025-01-01,2099-12-31,True
96,83,Good,711,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
97,84,Poor,564,High,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
98,85,Very Good,775,Low,<40K,Unemployed,2023-01-01,2099-12-31,True
99,86,Excellent,838,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
100,87,Excellent,842,Low,<40K,Employed,2023-01-01,2099-12-31,True
101,88,Good,,New/Thin File,90K-125K,Employed,2023-01-01,2024-12-31,False
102,88,Good,721,New/Thin File,90K-125K,Employed,2025-01-01,2099-12-31,True
103,89,Very Good,,Medium,200K+,Self-employed,2023-01-01,2024-12-31,False
104,89,Very Good,755,Medium,200K+,Self-employed,2025-01-01,2099-12-31,True
105,90,Very Good,778,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
106,91,Fair,647,High,90K-125K,Newcomer/Temporary,2023-01-01,2099-12-31,True
107,92,Poor,547,Low,<40K,Student,2023-01-01,2099-12-31,True
108,93,Good,674,Low,200K+,Employed,2023-01-01,2099-12-31,True
109,94,Excellent,841,Low,<40K,Employed,2023-01-01,2099-12-31,True
110,95,Fair,635,Medium,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
111,96,Good,705,Low,60K-90K,Retired,2023-01-01,2099-12-31,True
112,97,Fair,598,High,125K-200K,Employed,2023-01-01,2099-12-31,True
113,98,Very Good,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
114,98,Poor,527,High,40K-60K,Employed,2025-01-01,2099-12-31,True
115,99,Very Good,773,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
116,100,Excellent,829,Medium,60K-90K,Self-employed,2023-01-01,2099-12-31,True
117,101,Excellent,842,Medium,200K+,Employed,2023-01-01,2099-12-31,True
118,102,Fair,607,High,60K-90K,Employed,2023-01-01,2099-12-31,True
119,103,Very Good,740,New/Thin File,40K-60K,Employed,2023-01-01,2099-12-31,True
120,104,Very Good,750,New/Thin File,40K-60K,Employed,2023-01-01,2099-12-31,True
121,105,Poor,,High,<40K,Employed,2023-01-01,2024-12-31,False
122,105,Poor,573,Low,<40K,Employed,2025-01-01,2099-12-31,True
123,106,Excellent,807,High,200K+,Employed,2023-01-01,2099-12-31,True
124,107,Poor,,New/Thin File,<40K,Employed,2023-01-01,2024-12-31,False
125,107,Excellent,787,Low,<40K,Employed,2025-01-01,2099-12-31,True
126,108,Fair,,Low,40K-60K,Employed,2023-01-01,2024-12-31,False
127,108,Excellent,842,Low,40K-60K,Employed,2025-01-01,2099-12-31,True
128,109,Excellent,834,Low,125K-200K,Retired,2023-01-01,2099-12-31,True
129,110,Poor,570,Low,<40K,Self-employed,2023-01-01,2099-12-31,True
130,111,Good,694,Low,40K-60K,Newcomer/Temporary,2023-01-01,2099-12-31,True
131,112,Very Good,775,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
132,113,Excellent,791,Low,60K-90K,Self-employed,2023-01-01,2099-12-31,True
133,114,Very Good,736,New/Thin File,<40K,Employed,2023-01-01,2099-12-31,True
134,115,Poor,520,High,40K-60K,Employed,2023-01-01,2099-12-31,True
135,116,Good,675,Low,<40K,Unemployed,2023-01-01,2099-12-31,True
136,117,Good,704,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
137,118,Good,672,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
138,119,Excellent,780,New/Thin File,90K-125K,Retired,2023-01-01,2099-12-31,True
139,120,Good,697,High,40K-60K,Employed,2023-01-01,2099-12-31,True
140,121,Good,675,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
141,122,Fair,609,High,125K-200K,Employed,2023-01-01,2099-12-31,True
142,123,Very Good,760,Medium,125K-200K,Student,2023-01-01,2099-12-31,True
143,124,Very Good,736,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
144,125,Fair,656,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
145,126,Fair,588,High,125K-200K,Self-employed,2023-01-01,2099-12-31,True
146,127,Very Good,754,High,125K-200K,Employed,2023-01-01,2099-12-31,True
147,128,Fair,582,High,90K-125K,Retired,2023-01-01,2099-12-31,True
148,129,Good,701,High,200K+,Employed,2023-01-01,2099-12-31,True
149,130,Poor,524,High,90K-125K,Student,2023-01-01,2099-12-31,True
150,131,Good,709,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
151,132,Excellent,814,Low,200K+,Employed,2023-01-01,2099-12-31,True
152,133,Good,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
153,133,Good,672,High,60K-90K,Employed,2025-01-01,2099-12-31,True
154,134,Poor,521,High,125K-200K,Employed,2023-01-01,2099-12-31,True
155,135,Good,703,Medium,40K-60K,Self-employed,2023-01-01,2099-12-31,True
156,136,Poor,565,Medium,200K+,Employed,2023-01-01,2099-12-31,True
157,137,Poor,567,Medium,125K-200K,Self-employed,2023-01-01,2099-12-31,True
158,138,Good,673,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
159,139,Very Good,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
160,139,Excellent,835,Low,40K-60K,Employed,2025-01-01,2099-12-31,True
161,140,Good,,New/Thin File,60K-90K,Self-employed,2023-01-01,2024-12-31,False
162,140,No Score,,Low,60K-90K,Self-employed,2025-01-01,2099-12-31,True
163,141,Very Good,731,Medium,60K-90K,Student,2023-01-01,2099-12-31,True
164,142,Very Good,732,Low,200K+,Unemployed,2023-01-01,2099-12-31,True
165,143,No Score,,New/Thin File,40K-60K,Retired,2023-01-01,2024-12-31,False
166,143,Fair,648,High,40K-60K,Retired,2025-01-01,2099-12-31,True
167,144,Very Good,767,High,60K-90K,Employed,2023-01-01,2099-12-31,True
168,145,Very Good,760,Medium,<40K,Employed,2023-01-01,2099-12-31,True
169,146,Poor,,Medium,<40K,Employed,2023-01-01,2024-12-31,False
170,146,Very Good,743,Low,<40K,Employed,2025-01-01,2099-12-31,True
171,147,Very Good,735,Low,125K-200K,Self-employed,2023-01-01,2099-12-31,True
172,148,Good,679,Low,125K-200K,Student,2023-01-01,2099-12-31,True
173,149,Good,704,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
174,150,Poor,552,High,60K-90K,Self-employed,2023-01-01,2099-12-31,True
175,151,Good,679,High,90K-125K,Employed,2023-01-01,2099-12-31,True
176,152,Poor,,High,90K-125K,Newcomer/Temporary,2023-01-01,2024-12-31,False
177,152,Very Good,727,Low,90K-125K,Newcomer/Temporary,2025-01-01,2099-12-31,True
178,153,Good,704,Medium,<40K,Employed,2023-01-01,2099-12-31,True
179,154,Very Good,742,Low,60K-90K,Self-employed,2023-01-01,2099-12-31,True
180,155,Very Good,774,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
181,156,Poor,557,Low,<40K,Employed,2023-01-01,2099-12-31,True
182,157,Excellent,795,High,60K-90K,Self-employed,2023-01-01,2099-12-31,True
183,158,Fair,598,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
184,159,Very Good,763,Low,40K-60K,Self-employed,2023-01-01,2099-12-31,True
185,160,Excellent,791,High,60K-90K,Employed,2023-01-01,2099-12-31,True
186,161,No Score,,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
187,162,Good,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
188,162,Fair,613,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
189,163,Excellent,790,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
190,164,Fair,590,High,40K-60K,Employed,2023-01-01,2099-12-31,True
191,165,Poor,,Medium,90K-125K,Employed,2023-01-01,2024-12-31,False
192,165,Poor,565,High,90K-125K,Employed,2025-01-01,2099-12-31,True
193,166,Good,688,Medium,<40K,Employed,2023-01-01,2099-12-31,True
194,167,Fair,,High,60K-90K,Employed,2023-01-01,2024-12-31,False
195,167,Good,707,New/Thin File,60K-90K,Employed,2025-01-01,2099-12-31,True
196,168,Good,,Medium,40K-60K,Employed,2023-01-01,2024-12-31,False
197,168,Excellent,802,High,40K-60K,Employed,2025-01-01,2099-12-31,True
198,169,Poor,550,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
199,170,Very Good,,Medium,<40K,Newcomer/Temporary,2023-01-01,2024-12-31,False
200,170,Fair,640,High,<40K,Newcomer/Temporary,2025-01-01,2099-12-31,True
201,171,Very Good,768,Medium,<40K,Employed,2023-01-01,2099-12-31,True
202,172,Good,672,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
203,173,Good,701,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
204,174,Poor,,New/Thin File,40K-60K,Unemployed,2023-01-01,2024-12-31,False
205,174,Very Good,769,Low,40K-60K,Unemployed,2025-01-01,2099-12-31,True
206,175,Fair,589,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
207,176,Very Good,748,High,125K-200K,Unemployed,2023-01-01,2099-12-31,True
208,177,Poor,524,High,40K-60K,Employed,2023-01-01,2099-12-31,True
209,178,Good,707,Low,40K-60K,Newcomer/Temporary,2023-01-01,2099-12-31,True
210,179,Good,711,New/Thin File,<40K,Employed,2023-01-01,2099-12-31,True
211,180,Poor,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
212,180,Very Good,744,Low,60K-90K,Employed,2025-01-01,2099-12-31,True
213,181,Very Good,746,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
214,182,Good,702,Medium,200K+,Student,2023-01-01,2099-12-31,True
215,183,Very Good,734,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
216,184,Fair,,Low,90K-125K,Retired,2023-01-01,2024-12-31,False
217,184,Very Good,777,Medium,90K-125K,Retired,2025-01-01,2099-12-31,True
218,185,Very Good,738,Medium,200K+,Newcomer/Temporary,2023-01-01,2099-12-31,True
219,186,Excellent,820,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
220,187,Very Good,775,New/Thin File,200K+,Employed,2023-01-01,2099-12-31,True
221,188,Very Good,762,Medium,200K+,Employed,2023-01-01,2099-12-31,True
222,189,Very Good,,Medium,90K-125K,Employed,2023-01-01,2024-12-31,False
223,189,Good,696,High,90K-125K,Employed,2025-01-01,2099-12-31,True
224,190,Poor,564,High,90K-125K,Self-employed,2023-01-01,2099-12-31,True
225,191,Excellent,814,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
226,192,Good,667,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
227,193,Fair,622,High,40K-60K,Employed,2023-01-01,2099-12-31,True
228,194,Fair,657,High,90K-125K,Employed,2023-01-01,2099-12-31,True
229,195,Excellent,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
230,195,Good,679,High,60K-90K,Employed,2025-01-01,2099-12-31,True
231,196,Good,684,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
232,197,Very Good,,New/Thin File,90K-125K,Employed,2023-01-01,2024-12-31,False
233,197,Good,673,Medium,90K-125K,Employed,2025-01-01,2099-12-31,True
234,198,Good,665,Medium,<40K,Employed,2023-01-01,2099-12-31,True
235,199,Good,666,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
236,200,Very Good,743,New/Thin File,60K-90K,Employed,2023-01-01,2099-12-31,True
237,201,Fair,596,Low,60K-90K,Unemployed,2023-01-01,2099-12-31,True
238,202,Excellent,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
239,202,Fair,630,Low,60K-90K,Employed,2025-01-01,2099-12-31,True
240,203,Fair,,Medium,90K-125K,Retired,2023-01-01,2024-12-31,False
241,203,Very Good,773,Medium,90K-125K,Retired,2025-01-01,2099-12-31,True
242,204,Very Good,759,Low,90K-125K,Student,2023-01-01,2099-12-31,True
243,205,Good,671,New/Thin File,60K-90K,Employed,2023-01-01,2099-12-31,True
244,206,Excellent,781,Low,90K-125K,Self-employed,2023-01-01,2099-12-31,True
245,207,Very Good,777,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
246,208,Excellent,,Medium,90K-125K,Student,2023-01-01,2024-12-31,False
247,208,No Score,,Low,90K-125K,Student,2025-01-01,2099-12-31,True
248,209,Good,711,Low,125K-200K,Self-employed,2023-01-01,2099-12-31,True
249,210,Fair,,New/Thin File,90K-125K,Retired,2023-01-01,2024-12-31,False
250,210,Fair,648,High,90K-125K,Retired,2025-01-01,2099-12-31,True
251,211,Good,701,Medium,200K+,Newcomer/Temporary,2023-01-01,2099-12-31,True
252,212,Excellent,800,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
253,213,Poor,,High,60K-90K,Newcomer/Temporary,2023-01-01,2024-12-31,False
254,213,Very Good,779,Low,60K-90K,Newcomer/Temporary,2025-01-01,2099-12-31,True
255,214,Very Good,752,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
256,215,Excellent,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
257,215,Good,676,Low,40K-60K,Employed,2025-01-01,2099-12-31,True
258,216,Excellent,,Low,60K-90K,Employed,2023-01-01,2024-12-31,False
259,216,Very Good,776,Low,60K-90K,Employed,2025-01-01,2099-12-31,True
260,217,Very Good,775,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
261,218,Very Good,764,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
262,219,Poor,,Medium,90K-125K,Employed,2023-01-01,2024-12-31,False
263,219,No Score,,Low,90K-125K,Employed,2025-01-01,2099-12-31,True
264,220,Good,673,High,<40K,Employed,2023-01-01,2099-12-31,True
265,221,Excellent,825,Low,125K-200K,Newcomer/Temporary,2023-01-01,2099-12-31,True
266,222,Fair,637,High,<40K,Self-employed,2023-01-01,2099-12-31,True
267,223,Excellent,,Low,40K-60K,Employed,2023-01-01,2024-12-31,False
268,223,Very Good,769,Medium,40K-60K,Employed,2025-01-01,2099-12-31,True
269,224,Good,666,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
270,225,Very Good,,New/Thin File,125K-200K,Unemployed,2023-01-01,2024-12-31,False
271,225,Good,672,High,125K-200K,Unemployed,2025-01-01,2099-12-31,True
272,226,Very Good,776,Low,<40K,Retired,2023-01-01,2099-12-31,True
273,227,Excellent,819,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
274,228,Fair,621,High,125K-200K,Student,2023-01-01,2099-12-31,True
275,229,Excellent,809,Medium,<40K,Employed,2023-01-01,2099-12-31,True
276,230,No Score,,Medium,60K-90K,Employed,2023-01-01,2024-12-31,False
277,230,Very Good,772,Low,60K-90K,Employed,2025-01-01,2099-12-31,True
278,231,Very Good,,Low,40K-60K,Employed,2023-01-01,2024-12-31,False
279,231,Good,678,Medium,40K-60K,Employed,2025-01-01,2099-12-31,True
280,232,Fair,,New/Thin File,125K-200K,Employed,2023-01-01,2024-12-31,False
281,232,Good,669,Low,125K-200K,Employed,2025-01-01,2099-12-31,True
282,233,Very Good,734,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
283,234,No Score,,Low,<40K,Self-employed,2023-01-01,2099-12-31,True
284,235,Fair,605,High,200K+,Employed,2023-01-01,2099-12-31,True
285,236,Fair,609,High,40K-60K,Employed,2023-01-01,2099-12-31,True
286,237,Good,694,New/Thin File,40K-60K,Employed,2023-01-01,2099-12-31,True
287,238,Good,,New/Thin File,200K+,Employed,2023-01-01,2024-12-31,False
288,238,Very Good,742,Low,200K+,Employed,2025-01-01,2099-12-31,True
289,239,Very Good,,Low,<40K,Employed,2023-01-01,2024-12-31,False
290,239,Fair,614,High,<40K,Employed,2025-01-01,2099-12-31,True
291,240,Very Good,777,Low,200K+,Employed,2023-01-01,2099-12-31,True
292,241,Good,,High,90K-125K,Employed,2023-01-01,2024-12-31,False
293,241,Very Good,735,Medium,90K-125K,Employed,2025-01-01,2099-12-31,True
294,242,Very Good,761,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
295,243,Poor,572,High,40K-60K,Employed,2023-01-01,2099-12-31,True
296,244,Fair,656,High,125K-200K,Employed,2023-01-01,2099-12-31,True
297,245,Good,672,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
298,246,Good,686,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
299,247,Excellent,840,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
300,248,Good,684,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
301,249,Good,679,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
302,250,Very Good,762,Low,60K-90K,Retired,2023-01-01,2099-12-31,True
303,251,Good,661,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
304,252,Good,688,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
305,253,Fair,583,Low,90K-125K,Self-employed,2023-01-01,2099-12-31,True
306,254,No Score,,High,90K-125K,Self-employed,2023-01-01,2024-12-31,False
307,254,No Score,,Low,90K-125K,Self-employed,2025-01-01,2099-12-31,True
308,255,Good,688,Low,125K-200K,Retired,2023-01-01,2099-12-31,True
309,256,Poor,,High,<40K,Unemployed,2023-01-01,2024-12-31,False
310,256,Good,717,Medium,<40K,Unemployed,2025-01-01,2099-12-31,True
311,257,Excellent,794,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
312,258,Good,672,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
313,259,Fair,596,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
314,260,Excellent,849,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
315,261,Fair,595,High,60K-90K,Employed,2023-01-01,2099-12-31,True
316,262,Very Good,763,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
317,263,Good,670,Low,90K-125K,Retired,2023-01-01,2099-12-31,True
318,264,Good,713,Low,125K-200K,Self-employed,2023-01-01,2099-12-31,True
319,265,Good,688,Low,125K-200K,Newcomer/Temporary,2023-01-01,2099-12-31,True
320,266,Very Good,741,Medium,<40K,Newcomer/Temporary,2023-01-01,2099-12-31,True
321,267,Good,695,Medium,60K-90K,Retired,2023-01-01,2099-12-31,True
322,268,Very Good,732,Low,125K-200K,Student,2023-01-01,2099-12-31,True
323,269,Very Good,728,Low,200K+,Self-employed,2023-01-01,2099-12-31,True
324,270,Excellent,848,Low,60K-90K,Self-employed,2023-01-01,2099-12-31,True
325,271,Good,697,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
326,272,Fair,629,High,90K-125K,Employed,2023-01-01,2099-12-31,True
327,273,Poor,553,High,<40K,Employed,2023-01-01,2099-12-31,True
328,274,Excellent,,High,90K-125K,Employed,2023-01-01,2024-12-31,False
329,274,Good,671,Medium,90K-125K,Employed,2025-01-01,2099-12-31,True
330,275,Good,697,Low,200K+,Employed,2023-01-01,2099-12-31,True
331,276,Poor,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
332,276,Good,698,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
333,277,Good,720,Low,200K+,Retired,2023-01-01,2099-12-31,True
334,278,Very Good,,New/Thin File,<40K,Employed,2023-01-01,2024-12-31,False
335,278,Poor,549,High,<40K,Employed,2025-01-01,2099-12-31,True
336,279,Very Good,758,New/Thin File,60K-90K,Employed,2023-01-01,2099-12-31,True
337,280,Poor,532,High,40K-60K,Employed,2023-01-01,2099-12-31,True
338,281,Excellent,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
339,281,Excellent,808,Low,60K-90K,Employed,2025-01-01,2099-12-31,True
340,282,Fair,,Low,<40K,Retired,2023-01-01,2024-12-31,False
341,282,Good,712,Medium,<40K,Retired,2025-01-01,2099-12-31,True
342,283,Very Good,759,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
343,284,Excellent,812,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
344,285,Very Good,728,Medium,60K-90K,Student,2023-01-01,2099-12-31,True
345,286,Very Good,761,Low,200K+,Employed,2023-01-01,2099-12-31,True
346,287,Very Good,,Medium,60K-90K,Employed,2023-01-01,2024-12-31,False
347,287,Excellent,786,High,60K-90K,Employed,2025-01-01,2099-12-31,True
348,288,Good,669,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
349,289,Good,692,Medium,90K-125K,Retired,2023-01-01,2099-12-31,True
350,290,Excellent,804,New/Thin File,60K-90K,Self-employed,2023-01-01,2099-12-31,True
351,291,No Score,,New/Thin File,40K-60K,Employed,2023-01-01,2024-12-31,False
