account_customer_id,account_id,customer_id,ownership_role,ownership_percent
166,152,71,Primary,1.0
167,153,71,Primary,1.0
168,154,72,Primary,1.0
169,155,72,Primary,1.0
170,156,73,Primary,1.0
171,157,73,Primary,1.0
172,158,74,Primary,1.0
173,159,74,Primary,1.0
174,160,74,Primary,1.0
175,161,75,Primary,1.0
176,162,76,Primary,1.0
177,163,76,Primary,1.0
178,164,77,Primary,1.0
179,165,78,Primary,1.0
180,165,2368,Joint,0.5
181,166,78,Primary,1.0
182,167,78,Primary,1.0
183,167,1099,Joint,0.5
184,168,79,Primary,1.0
185,169,80,Primary,1.0
186,170,80,Primary,1.0
187,171,81,Primary,1.0
188,172,81,Primary,1.0
189,173,81,Primary,1.0
190,174,81,Primary,1.0
191,175,82,Primary,1.0
192,176,82,Primary,1.0
193,177,83,Primary,1.0
194,178,84,Primary,1.0
195,179,85,Primary,1.0
196,180,86,Primary,1.0
197,181,86,Primary,1.0
198,182,87,Primary,1.0
199,183,88,Primary,1.0
200,184,88,Primary,1.0
201,185,88,Primary,1.0
202,186,89,Primary,1.0
203,187,89,Primary,1.0
204,188,90,Primary,1.0
205,189,90,Primary,1.0
206,190,91,Primary,1.0
207,191,91,Primary,1.0
208,192,92,Primary,1.0
209,193,92,Primary,1.0
210,194,93,Primary,1.0
211,195,94,Primary,1.0
212,195,5138,Joint,0.5
213,196,95,Primary,1.0
214,197,96,Primary,1.0
215,198,97,Primary,1.0
216,199,97,Primary,1.0
217,200,98,Primary,1.0
218,201,99,Primary,1.0
219,202,99,Primary,1.0
220,203,99,Primary,1.0
221,203,4170,Joint,0.5
222,204,100,Primary,1.0
223,205,100,Primary,1.0
224,206,101,Primary,1.0
225,207,102,Primary,1.0
226,208,102,Primary,1.0
227,208,3111,Joint,0.5
228,209,103,Primary,1.0
229,210,103,Primary,1.0
230,211,104,Primary,1.0
231,212,104,Primary,1.0
232,213,105,Primary,1.0
233,214,105,Primary,1.0
234,215,106,Primary,1.0
235,216,106,Primary,1.0
236,217,107,Primary,1.0
237,217,3631,Joint,0.5
238,218,107,Primary,1.0
239,219,108,Primary,1.0
240,220,108,Primary,1.0
241,221,109,Primary,1.0
242,222,109,Primary,1.0
243,223,109,Primary,1.0
244,224,110,Primary,1.0
245,225,111,Primary,1.0
246,226,111,Primary,1.0
247,227,112,Primary,1.0
248,228,113,Primary,1.0
249,229,114,Primary,1.0
250,230,115,Primary,1.0
251,231,115,Primary,1.0
252,232,115,Primary,1.0
253,233,115,Primary,1.0
254,234,116,Primary,1.0
255,235,116,Primary,1.0
256,236,116,Primary,1.0
257,237,117,Primary,1.0
258,238,117,Primary,1.0
259,239,117,Primary,1.0
260,240,118,Primary,1.0
261,241,118,Primary,1.0
262,242,118,Primary,1.0
263,243,118,Primary,1.0
264,244,119,Primary,1.0
265,245,120,Primary,1.0
266,246,121,Primary,1.0
267,247,122,Primary,1.0
268,248,122,Primary,1.0
269,249,123,Primary,1.0
270,250,123,Primary,1.0
271,251,124,Primary,1.0
272,252,124,Primary,1.0
273,253,124,Primary,1.0
274,254,125,Primary,1.0
275,255,125,Primary,1.0
276,256,125,Primary,1.0
277,257,126,Primary,1.0
278,258,126,Primary,1.0
279,258,1578,Joint,0.5
280,259,127,Primary,1.0
281,260,127,Primary,1.0
282,261,127,Primary,1.0
283,262,127,Primary,1.0
284,262,6034,Joint,0.5
285,263,128,Primary,1.0
286,264,128,Primary,1.0
287,264,3504,Joint,0.5
288,265,128,Primary,1.0
289,266,129,Primary,1.0
290,267,129,Primary,1.0
291,268,129,Primary,1.0
292,268,1015,Joint,0.5
293,269,129,Primary,1.0
294,270,130,Primary,1.0
295,271,130,Primary,1.0
296,272,130,Primary,1.0
297,273,131,Primary,1.0
298,274,132,Primary,1.0
299,275,132,Primary,1.0
300,276,133,Primary,1.0
301,277,133,Primary,1.0
302,278,133,Primary,1.0
303,278,2641,Joint,0.5
304,279,134,Primary,1.0
305,280,134,Primary,1.0
306,280,1820,Joint,0.5
307,281,134,Primary,1.0
308,282,135,Primary,1.0
309,283,135,Primary,1.0
310,284,136,Primary,1.0
311,285,137,Primary,1.0
312,286,137,Primary,1.0
313,287,138,Primary,1.0
314,288,138,Primary,1.0
315,289,139,Primary,1.0
316,290,139,Primary,1.0
317,291,140,Primary,1.0
318,292,140,Primary,1.0
319,293,141,Primary,1.0
320,294,141,Primary,1.0
321,295,141,Primary,1.0
322,296,142,Primary,1.0
323,297,142,Primary,1.0
324,298,142,Primary,1.0
325,299,143,Primary,1.0
326,300,143,Primary,1.0
327,301,143,Primary,1.0
328,302,144,Primary,1.0
329,303,144,Primary,1.0
330,304,144,Primary,1.0
331,305,145,Primary,1.0
332,306,145,Primary,1.0
333,307,146,Primary,1.0
334,308,146,Primary,1.0
335,309,147,Primary,1.0
336,310,147,Primary,1.0
337,311,148,Primary,1.0
338,311,5189,Joint,0.5
339,312,149,Primary,1.0
340,313,150,Primary,1.0
341,314,151,Primary,1.0
342,315,151,Primary,1.0
343,316,152,Primary,1.0
344,317,152,Primary,1.0
345,318,153,Primary,1.0
346,319,154,Primary,1.0
347,320,155,Primary,1.0
348,321,155,Primary,1.0
349,322,155,Primary,1.0
350,323,156,Primary,1.0
351,324,156,Primary,1.0
352,325,156,Primary,1.0
353,326,157,Primary,1.0
354,327,157,Primary,1.0
355,328,157,Primary,1.0
356,328,1267,Joint,0.5
357,329,158,Primary,1.0
358,330,158,Primary,1.0
359,331,159,Primary,1.0
360,332,159,Primary,1.0
361,333,159,Primary,1.0
362,334,159,Primary,1.0
363,335,160,Primary,1.0
364,336,160,Primary,1.0
365,337,160,Primary,1.0
366,338,161,Primary,1.0
367,338,2861,Joint,0.5
368,339,161,Primary,1.0
369,340,162,Primary,1.0
370,341,163,Primary,1.0
371,342,164,Primary,1.0
372,343,165,Primary,1.0
373,344,165,Primary,1.0
374,345,166,Primary,1.0
375,346,166,Primary,1.0
376,347,167,Primary,1.0
377,348,167,Primary,1.0
378,349,167,Primary,1.0
379,350,168,Primary,1.0
380,351,168,Primary,1.0
381,352,168,Primary,1.0
382,353,169,Primary,1.0
383,354,170,Primary,1.0
384,355,171,Primary,1.0
385,356,171,Primary,1.0
386,357,171,Primary,1.0
387,358,172,Primary,1.0
388,359,173,Primary,1.0
389,360,174,Primary,1.0
390,361,175,Primary,1.0
391,362,175,Primary,1.0
392,363,175,Primary,1.0
393,364,176,Primary,1.0
394,365,176,Primary,1.0
395,366,176,Primary,1.0
396,367,177,Primary,1.0
397,368,177,Primary,1.0
398,369,178,Primary,1.0
399,370,179,Primary,1.0
400,371,179,Primary,1.0
401,372,180,Primary,1.0
402,373,180,Primary,1.0
403,374,180,Primary,1.0
404,375,181,Primary,1.0
405,376,181,Primary,1.0
406,377,181,Primary,1.0
407,378,182,Primary,1.0
408,379,182,Primary,1.0
409,380,183,Primary,1.0
410,380,1937,Joint,0.5
411,381,183,Primary,1.0
412,382,183,Primary,1.0
413,382,4774,Joint,0.5
414,383,184,Primary,1.0
415,384,184,Primary,1.0
416,385,185,Primary,1.0
417,386,185,Primary,1.0
418,387,186,Primary,1.0
419,388,186,Primary,1.0
420,389,187,Primary,1.0
421,390,187,Primary,1.0
422,390,2126,Joint,0.5
423,391,187,Primary,1.0
424,391,3803,Joint,0.5
425,392,188,Primary,1.0
426,392,5307,Joint,0.5
427,393,189,Primary,1.0
428,394,189,Primary,1.0
429,395,189,Primary,1.0
430,396,190,Primary,1.0
431,396,5551,Joint,0.5
432,397,190,Primary,1.0
433,398,191,Primary,1.0
434,399,191,Primary,1.0
435,400,192,Primary,1.0
436,401,192,Primary,1.0
437,402,192,Primary,1.0
438,403,193,Primary,1.0
439,404,194,Primary,1.0
440,405,194,Primary,1.0
441,406,194,Primary,1.0
442,407,195,Primary,1.0
443,408,196,Primary,1.0
444,409,196,Primary,1.0
445,410,196,Primary,1.0
446,411,196,Primary,1.0
447,412,197,Primary,1.0
448,413,198,Primary,1.0
449,414,199,Primary,1.0
450,415,199,Primary,1.0
451,416,200,Primary,1.0
452,416,6100,Joint,0.5
453,417,200,Primary,1.0
454,418,200,Primary,1.0
455,419,201,Primary,1.0
456,420,201,Primary,1.0
457,421,202,Primary,1.0
458,422,203,Primary,1.0
459,423,203,Primary,1.0
460,423,4472,Joint,0.5
461,424,204,Primary,1.0
462,425,204,Primary,1.0
463,425,2981,Joint,0.5
464,426,205,Primary,1.0
465,427,206,Primary,1.0
466,428,207,Primary,1.0
467,429,207,Primary,1.0
468,430,207,Primary,1.0
469,431,208,Primary,1.0
470,432,208,Primary,1.0
471,432,396,Joint,0.5
472,433,209,Primary,1.0
473,434,209,Primary,1.0
474,435,209,Primary,1.0
475,436,210,Primary,1.0
476,437,210,Primary,1.0
477,438,211,Primary,1.0
478,439,211,Primary,1.0
479,440,211,Primary,1.0
480,441,211,Primary,1.0
481,442,212,Primary,1.0
482,443,212,Primary,1.0
483,444,213,Primary,1.0
484,445,213,Primary,1.0
485,446,213,Primary,1.0
486,447,214,Primary,1.0
487,448,214,Primary,1.0
488,449,215,Primary,1.0
489,450,215,Primary,1.0
490,451,216,Primary,1.0
491,452,217,Primary,1.0
492,453,218,Primary,1.0
493,454,219,Primary,1.0
494,454,4675,Joint,0.5
495,455,219,Primary,1.0
496,456,220,Primary,1.0
497,457,220,Primary,1.0
498,458,221,Primary,1.0
499,459,221,Primary,1.0
500,460,221,Primary,1.0
501,461,221,Primary,1.0
502,462,222,Primary,1.0
503,463,223,Primary,1.0
504,464,223,Primary,1.0
505,465,223,Primary,1.0
506,466,223,Primary,1.0
507,467,224,Primary,1.0
508,468,224,Primary,1.0
509,469,225,Primary,1.0
510,470,225,Primary,1.0
511,471,226,Primary,1.0
512,472,226,Primary,1.0
513,473,227,Primary,1.0
514,474,227,Primary,1.0
515,475,227,Primary,1.0
516,476,227,Primary,1.0
517,477,228,Primary,1.0
518,478,229,Primary,1.0
519,479,229,Primary,1.0
520,480,229,Primary,1.0
521,480,875,Joint,0.5
522,481,230,Primary,1.0
523,482,230,Primary,1.0
524,483,230,Primary,1.0
525,484,231,Primary,1.0
526,485,232,Primary,1.0
527,486,232,Primary,1.0
528,487,233,Primary,1.0
529,488,233,Primary,1.0
530,489,233,Primary,1.0
531,490,234,Primary,1.0
532,490,2693,Joint,0.5
533,491,234,Primary,1.0
534,492,235,Primary,1.0
535,493,236,Primary,1.0
536,493,5101,Joint,0.5
537,494,237,Primary,1.0
538,495,237,Primary,1.0
539,496,238,Primary,1.0
540,497,238,Primary,1.0
541,498,239,Primary,1.0
542,499,239,Primary,1.0
543,500,239,Primary,1.0
544,501,240,Primary,1.0
545,502,240,Primary,1.0
546,503,241,Primary,1.0
547,504,241,Primary,1.0
548,505,242,Primary,1.0
549,506,243,Primary,1.0
550,507,244,Primary,1.0
551,508,244,Primary,1.0
552,509,244,Primary,1.0
553,510,245,Primary,1.0
554,511,245,Primary,1.0
555,512,246,Primary,1.0
556,513,246,Primary,1.0
557,514,247,Primary,1.0
558,515,247,Primary,1.0
559,516,247,Primary,1.0
560,517,248,Primary,1.0
561,518,248,Primary,1.0
562,519,248,Primary,1.0
563,520,248,Primary,1.0
564,521,249,Primary,1.0
565,522,250,Primary,1.0
566,523,250,Primary,1.0
567,524,250,Primary,1.0
568,525,251,Primary,1.0
569,526,251,Primary,1.0
570,527,251,Primary,1.0
571,528,252,Primary,1.0
572,529,252,Primary,1.0
573,530,252,Primary,1.0
574,530,671,Joint,0.5
575,531,252,Primary,1.0
576,532,253,Primary,1.0
577,533,254,Primary,1.0
578,534,254,Primary,1.0
579,535,254,Primary,1.0
580,536,255,Primary,1.0
581,537,255,Primary,1.0
582,538,255,Primary,1.0
583,539,255,Primary,1.0
584,540,256,Primary,1.0
585,541,257,Primary,1.0
586,542,257,Primary,1.0
587,543,257,Primary,1.0
588,544,257,Primary,1.0
589,545,258,Primary,1.0
590,546,259,Primary,1.0
591,547,260,Primary,1.0
592,548,260,Primary,1.0
593,549,261,Primary,1.0
594,550,261,Primary,1.0
595,551,261,Primary,1.0
596,552,262,Primary,1.0
597,553,262,Primary,1.0
598,554,263,Primary,1.0
599,555,263,Primary,1.0
600,556,263,Primary,1.0
601,556,1797,Joint,0.5
602,557,263,Primary,1.0
603,558,264,Primary,1.0
604,559,264,Primary,1.0
605,560,264,Primary,1.0
606,561,265,Primary,1.0
607,562,266,Primary,1.0
608,563,266,Primary,1.0
609,564,266,Primary,1.0
610,565,267,Primary,1.0
611,566,267,Primary,1.0
612,567,268,Primary,1.0
613,568,268,Primary,1.0
614,569,268,Primary,1.0
615,570,269,Primary,1.0
616,571,270,Primary,1.0
617,572,271,Primary,1.0
618,573,272,Primary,1.0
619,574,273,Primary,1.0
620,575,273,Primary,1.0
621,576,274,Primary,1.0
622,577,274,Primary,1.0
623,578,274,Primary,1.0
624,579,275,Primary,1.0
625,580,275,Primary,1.0
626,581,276,Primary,1.0
627,582,277,Primary,1.0
628,583,277,Primary,1.0
629,584,278,Primary,1.0
630,585,278,Primary,1.0
631,586,278,Primary,1.0
632,587,279,Primary,1.0
633,588,279,Primary,1.0
634,589,280,Primary,1.0
635,590,281,Primary,1.0
636,591,282,Primary,1.0
637,592,282,Primary,1.0
638,593,283,Primary,1.0
639,594,283,Primary,1.0
640,595,284,Primary,1.0
641,596,285,Primary,1.0
642,597,285,Primary,1.0
643,598,286,Primary,1.0
644,599,286,Primary,1.0
645,600,287,Primary,1.0
646,601,287,Primary,1.0
647,602,287,Primary,1.0
648,602,2876,Joint,0.5
649,603,287,Primary,1.0
650,604,288,Primary,1.0
651,605,289,Primary,1.0
652,606,289,Primary,1.0
653,607,290,Primary,1.0
654,608,291,Primary,1.0
655,609,291,Primary,1.0
656,610,291,Primary,1.0
657,611,291,Primary,1.0
658,612,292,Primary,1.0
659,613,292,Primary,1.0
660,614,293,Primary,1.0
661,615,294,Primary,1.0
662,616,295,Primary,1.0
663,616,2023,Joint,0.5
664,617,295,Primary,1.0
665,618,295,Primary,1.0
666,619,296,Primary,1.0
667,620,297,Primary,1.0
668,621,298,Primary,1.0
669,622,299,Primary,1.0
670,623,299,Primary,1.0
671,624,300,Primary,1.0
672,625,301,Primary,1.0
673,626,301,Primary,1.0
674,627,302,Primary,1.0
675,628,303,Primary,1.0
676,629,304,Primary,1.0
677,630,304,Primary,1.0
678,631,305,Primary,1.0
679,631,3252,Joint,0.5
680,632,305,Primary,1.0
681,633,306,Primary,1.0
682,634,307,Primary,1.0
683,635,308,Primary,1.0
684,636,308,Primary,1.0
685,636,612,Joint,0.5
686,637,309,Primary,1.0
687,638,309,Primary,1.0
688,639,309,Primary,1.0
689,640,309,Primary,1.0
690,641,310,Primary,1.0
691,642,310,Primary,1.0
692,643,310,Primary,1.0
693,644,311,Primary,1.0
694,645,311,Primary,1.0
695,645,2050,Joint,0.5
696,646,312,Primary,1.0
697,647,313,Primary,1.0
698,648,314,Primary,1.0
699,649,314,Primary,1.0
700,650,314,Primary,1.0
701,651,315,Primary,1.0
702,652,315,Primary,1.0
703,653,316,Primary,1.0
704,654,316,Primary,1.0
705,654,5629,Joint,0.5
706,655,316,Primary,1.0
707,656,316,Primary,1.0
708,657,317,Primary,1.0
709,658,317,Primary,1.0
710,659,318,Primary,1.0
711,660,319,Primary,1.0
712,661,319,Primary,1.0
713,662,319,Primary,1.0
714,663,320,Primary,1.0
715,663,3286,Joint,0.5
716,664,320,Primary,1.0
717,665,320,Primary,1.0
718,666,321,Primary,1.0
719,666,449,Joint,0.5
720,667,321,Primary,1.0
721,668,321,Primary,1.0
722,669,322,Primary,1.0
723,670,323,Primary,1.0
724,671,324,Primary,1.0
725,672,324,Primary,1.0
726,673,324,Primary,1.0
727,674,325,Primary,1.0
728,675,325,Primary,1.0
729,676,325,Primary,1.0
730,677,326,Primary,1.0
731,678,327,Primary,1.0
732,679,327,Primary,1.0
733,680,327,Primary,1.0
734,681,328,Primary,1.0
735,682,328,Primary,1.0
736,683,329,Primary,1.0
737,683,1777,Joint,0.5
738,684,330,Primary,1.0
739,685,330,Primary,1.0
740,686,330,Primary,1.0
741,687,331,Primary,1.0
742,688,331,Primary,1.0
743,689,332,Primary,1.0
744,690,332,Primary,1.0
745,691,332,Primary,1.0
746,692,332,Primary,1.0
747,693,333,Primary,1.0
748,694,333,Primary,1.0
749,695,334,Primary,1.0
750,696,335,Primary,1.0
751,697,335,Primary,1.0
752,698,335,Primary,1.0
753,699,335,Primary,1.0
754,700,336,Primary,1.0
755,701,336,Primary,1.0
756,702,336,Primary,1.0
757,703,337,Primary,1.0
758,704,338,Primary,1.0
759,705,338,Primary,1.0
760,706,338,Primary,1.0
761,706,6272,Joint,0.5
762,707,339,Primary,1.0
763,708,339,Primary,1.0
764,709,339,Primary,1.0
765,710,340,Primary,1.0
766,711,340,Primary,1.0
767,712,340,Primary,1.0
768,713,340,Primary,1.0
769,714,341,Primary,1.0
770,715,341,Primary,1.0
771,716,341,Primary,1.0
772,716,3486,Joint,0.5
773,717,342,Primary,1.0
774,718,342,Primary,1.0
775,718,5317,Joint,0.5
776,719,342,Primary,1.0
777,720,343,Primary,1.0
778,721,343,Primary,1.0
779,722,343,Primary,1.0
780,723,343,Primary,1.0
781,724,344,Primary,1.0
782,724,5809,Joint,0.5
783,725,344,Primary,1.0
784,726,344,Primary,1.0
785,727,345,Primary,1.0
786,728,345,Primary,1.0
787,729,346,Primary,1.0
788,730,346,Primary,1.0
789,731,347,Primary,1.0
790,732,347,Primary,1.0
791,733,348,Primary,1.0
792,734,348,Primary,1.0
793,735,349,Primary,1.0
794,736,349,Primary,1.0
795,737,350,Primary,1.0
796,738,351,Primary,1.0
797,739,351,Primary,1.0
798,740,352,Primary,1.0
799,741,353,Primary,1.0
800,742,353,Primary,1.0
801,743,353,Primary,1.0
802,744,353,Primary,1.0
803,745,354,Primary,1.0
804,746,354,Primary,1.0
805,747,355,Primary,1.0
806,748,355,Primary,1.0
807,749,356,Primary,1.0
808,750,357,Primary,1.0
809,751,357,Primary,1.0
810,752,358,Primary,1.0
811,753,358,Primary,1.0
812,754,359,Primary,1.0
813,755,359,Primary,1.0
814,756,360,Primary,1.0
815,757,361,Primary,1.0
816,758,362,Primary,1.0
817,759,362,Primary,1.0
818,760,362,Primary,1.0
819,761,363,Primary,1.0
820,762,364,Primary,1.0
821,763,364,Primary,1.0
822,764,365,Primary,1.0
823,765,365,Primary,1.0
824,766,365,Primary,1.0
825,767,366,Primary,1.0
826,768,366,Primary,1.0
827,769,367,Primary,1.0
828,770,367,Primary,1.0
829,771,367,Primary,1.0
830,772,368,Primary,1.0
831,773,368,Primary,1.0
832,774,369,Primary,1.0
833,775,369,Primary,1.0
834,776,369,Primary,1.0
835,777,370,Primary,1.0
836,778,371,Primary,1.0
837,779,372,Primary,1.0
838,780,373,Primary,1.0
839,781,374,Primary,1.0
840,782,375,Primary,1.0
841,783,376,Primary,1.0
842,784,376,Primary,1.0
843,785,376,Primary,1.0
844,786,377,Primary,1.0
845,787,377,Primary,1.0
846,788,377,Primary,1.0
847,789,377,Primary,1.0
848,790,378,Primary,1.0
849,791,379,Primary,1.0
850,792,379,Primary,1.0
851,793,380,Primary,1.0
852,794,380,Primary,1.0
853,795,381,Primary,1.0
854,796,381,Primary,1.0
855,797,382,Primary,1.0
856,798,383,Primary,1.0
857,799,383,Primary,1.0
858,800,383,Primary,1.0
859,801,383,Primary,1.0
860,802,384,Primary,1.0
861,802,2095,Joint,0.5
862,803,385,Primary,1.0
863,804,386,Primary,1.0
864,805,387,Primary,1.0
865,806,387,Primary,1.0
866,807,388,Primary,1.0
867,808,388,Primary,1.0
868,809,389,Primary,1.0
869,810,389,Primary,1.0
870,811,389,Primary,1.0
871,812,390,Primary,1.0
872,813,390,Primary,1.0
873,813,3512,Joint,0.5
874,814,391,Primary,1.0
875,815,391,Primary,1.0
876,816,391,Primary,1.0
877,817,392,Primary,1.0
878,818,392,Primary,1.0
879,819,393,Primary,1.0
880,820,394,Primary,1.0
881,821,395,Primary,1.0
882,822,395,Primary,1.0
883,823,396,Primary,1.0
884,824,396,Primary,1.0
885,825,397,Primary,1.0
886,826,397,Primary,1.0
887,827,397,Primary,1.0
888,828,398,Primary,1.0
889,829,398,Primary,1.0
890,830,399,Primary,1.0
891,831,399,Primary,1.0
892,832,400,Primary,1.0
893,833,400,Primary,1.0
894,834,401,Primary,1.0
895,834,333,Joint,0.5
896,835,402,Primary,1.0
897,836,403,Primary,1.0
898,837,403,Primary,1.0
899,837,208,Joint,0.5
900,838,404,Primary,1.0
901,838,4762,Joint,0.5
902,839,404,Primary,1.0
903,840,404,Primary,1.0
904,841,405,Primary,1.0
905,842,406,Primary,1.0
906,843,406,Primary,1.0
907,844,407,Primary,1.0
908,844,6107,Joint,0.5
909,845,408,Primary,1.0
910,846,408,Primary,1.0
911,847,408,Primary,1.0
912,848,409,Primary,1.0
913,849,410,Primary,1.0
914,850,411,Primary,1.0
915,851,411,Primary,1.0
916,852,411,Primary,1.0
917,853,411,Primary,1.0
918,854,412,Primary,1.0
919,855,412,Primary,1.0
920,856,413,Primary,1.0
921,857,414,Primary,1.0
922,858,414,Primary,1.0
923,859,414,Primary,1.0
924,860,415,Primary,1.0
925,861,416,Primary,1.0
926,862,416,Primary,1.0
927,863,417,Primary,1.0
928,864,418,Primary,1.0
929,865,418,Primary,1.0
930,866,418,Primary,1.0
931,867,419,Primary,1.0
932,868,419,Primary,1.0
933,869,420,Primary,1.0
934,870,420,Primary,1.0
935,871,421,Primary,1.0
936,872,422,Primary,1.0
937,873,423,Primary,1.0
938,874,424,Primary,1.0
939,875,424,Primary,1.0
940,876,425,Primary,1.0
941,877,425,Primary,1.0
942,877,2948,Joint,0.5
943,878,426,Primary,1.0
944,879,426,Primary,1.0
945,880,427,Primary,1.0
946,881,427,Primary,1.0
947,882,428,Primary,1.0
948,882,4490,Joint,0.5
949,883,428,Primary,1.0
950,884,429,Primary,1.0
951,885,429,Primary,1.0
952,886,429,Primary,1.0
953,887,430,Primary,1.0
954,888,431,Primary,1.0
955,889,431,Primary,1.0
956,889,650,Joint,0.5
957,890,432,Primary,1.0
958,891,433,Primary,1.0
959,892,433,Primary,1.0
960,893,433,Primary,1.0
961,894,434,Primary,1.0
962,895,434,Primary,1.0
963,896,435,Primary,1.0
964,897,436,Primary,1.0
965,898,436,Primary,1.0
966,899,436,Primary,1.0
967,900,437,Primary,1.0
968,901,437,Primary,1.0
969,901,1062,Joint,0.5
970,902,438,Primary,1.0
971,902,4571,Joint,0.5
972,903,438,Primary,1.0
973,904,438,Primary,1.0
974,905,439,Primary,1.0
975,906,439,Primary,1.0
976,907,439,Primary,1.0
977,908,440,Primary,1.0
978,909,441,Primary,1.0
979,910,441,Primary,1.0
980,911,442,Primary,1.0
981,912,442,Primary,1.0
982,913,443,Primary,1.0
983,914,443,Primary,1.0
984,915,444,Primary,1.0
985,916,444,Primary,1.0
986,917,445,Primary,1.0
987,918,446,Primary,1.0
988,919,446,Primary,1.0
989,920,447,Primary,1.0
990,921,447,Primary,1.0
991,922,447,Primary,1.0
