loan_id,account_id,customer_id,institution_id,branch_id,product_id,origination_date,close_date,original_principal,annual_interest_rate,term_months,scheduled_monthly_payment,loan_status
86,723,343,1,29,12,2025-06-13,,550000.0,0.0901,48,13688.61,Current
87,725,344,3,97,13,2025-11-06,,150000.0,0.0696,36,4629.13,Current
88,730,346,5,186,10,2024-01-16,,150000.0,0.0581,300,949.56,Delinquent 30
89,731,347,1,1,11,2025-06-08,,65000.0,0.0568,300,406.02,Current
90,734,348,2,47,12,2023-08-07,,350000.0,0.0895,60,7257.47,Current
91,762,364,3,121,13,2025-06-21,,15000.0,0.0778,60,302.59,Delinquent 90+
92,764,365,1,27,12,2024-05-30,,35000.0,0.0871,60,721.56,Current
93,773,368,6,211,10,2022-08-28,,350000.0,0.06,300,2254.63,Current
94,789,377,3,118,12,2024-11-05,,15000.0,0.0966,120,195.45,Current
95,809,389,2,68,12,2023-05-09,,350000.0,0.0905,60,7274.38,Current
96,810,389,3,93,10,2025-08-24,,25000.0,0.0486,300,144.18,Current
97,812,390,1,28,13,2023-09-25,,150000.0,0.089,120,1892.15,Delinquent 60
98,837,403,5,194,12,2025-03-28,,15000.0,0.1019,36,485.37,Current
99,865,418,6,210,13,2024-05-24,,65000.0,0.0914,48,1621.95,Current
100,867,419,2,83,12,2023-10-24,,550000.0,0.1005,84,9144.78,Current
101,878,426,6,214,11,2023-07-11,,35000.0,0.0574,300,220.0,Current
102,886,429,5,177,11,2024-12-24,,35000.0,0.0639,300,233.97,Current
103,893,433,4,133,12,2024-02-02,,25000.0,0.1065,48,641.85,Current
104,907,439,1,8,10,2024-05-10,,550000.0,0.0455,300,3072.71,Current
105,910,441,2,77,10,2023-10-13,,350000.0,0.0507,300,2059.4,Current
106,914,443,6,213,10,2023-07-05,,35000.0,0.048,300,200.61,Current
107,922,447,3,129,12,2025-03-26,,25000.0,0.1076,48,643.26,Paid Off
108,927,448,3,93,11,2025-09-12,,35000.0,0.0615,300,228.63,Current
109,932,451,5,184,10,2024-02-14,,25000.0,0.0485,300,144.0,Current
110,938,454,3,101,11,2023-02-23,,350000.0,0.0589,300,2230.84,Delinquent 90+
111,948,460,3,112,11,2021-10-22,,550000.0,0.0563,300,3421.35,Current
112,958,464,2,84,12,2025-09-27,,25000.0,0.0987,84,413.39,Paid Off
113,974,473,3,100,10,2024-09-12,,550000.0,0.0456,300,3076.31,Current
114,979,477,4,144,12,2022-06-10,,35000.0,0.1075,48,900.3,Current
115,985,480,2,59,13,2023-04-12,,15000.0,0.0846,36,473.21,Current
116,986,481,1,23,12,2025-12-12,,35000.0,0.0968,36,1124.11,Current
117,988,481,5,204,11,2022-11-17,,25000.0,0.0635,300,166.39,Current
118,989,482,6,217,10,2022-08-26,,15000.0,0.0526,300,89.98,Current
119,990,482,2,58,11,2023-03-16,,550000.0,0.0512,300,3255.11,Current
120,1002,486,1,5,12,2024-02-16,,25000.0,0.0962,48,629.52,Current
121,1004,487,6,218,12,2021-09-08,,350000.0,0.0962,60,7371.85,Current
122,1020,496,4,155,11,2025-09-18,,150000.0,0.0554,300,925.08,Current
123,1021,496,4,160,13,2021-11-25,,25000.0,0.082,60,509.29,Delinquent 30
124,1024,498,4,149,13,2025-04-04,,35000.0,0.085,120,433.89,Delinquent 90+
125,1042,509,2,75,10,2022-08-05,,350000.0,0.0491,300,2026.97,Current
126,1061,519,4,139,12,2021-05-14,,35000.0,0.1017,84,584.11,Current
127,1080,528,2,72,13,2025-08-21,,25000.0,0.0808,36,784.37,Current
128,1085,531,2,64,10,2024-10-20,,150000.0,0.0479,300,858.44,Current
129,1103,542,3,110,11,2023-07-27,,25000.0,0.0559,300,154.93,Current
130,1111,545,3,120,10,2025-09-05,,25000.0,0.056,300,155.03,Current
131,1124,551,5,177,13,2023-05-09,,25000.0,0.0887,60,517.41,Current
132,1132,554,3,107,12,2022-06-08,,150000.0,0.0993,120,1976.5,Delinquent 30
133,1144,560,6,223,11,2025-09-16,,350000.0,0.0626,300,2310.29,Current
134,1147,562,4,163,12,2020-09-04,,350000.0,0.1033,84,5870.56,Current
135,1161,569,3,103,13,2021-04-21,,350000.0,0.0799,60,7095.58,Current
136,1162,569,5,193,10,2021-09-19,,35000.0,0.0559,300,216.79,Delinquent 30
137,1179,575,4,145,11,2024-09-10,,350000.0,0.0701,300,2475.42,Current
138,1185,576,5,182,10,2025-10-24,,35000.0,0.0539,300,212.71,Current
139,1188,577,4,139,12,2021-11-22,,15000.0,0.0987,84,248.03,Paid Off
140,1192,579,5,179,10,2024-06-09,,35000.0,0.0554,300,215.69,Current
141,1196,581,5,190,12,2025-08-15,,350000.0,0.1054,36,11382.92,Current
142,1213,588,5,181,10,2024-12-13,,350000.0,0.0532,300,2111.49,Current
143,1215,589,5,177,12,2023-11-16,,25000.0,0.1,84,415.04,Current
144,1222,592,3,91,13,2025-10-19,,35000.0,0.072,120,410.04,Current
145,1236,598,1,34,10,2024-11-27,,550000.0,0.0535,300,3327.1,Current
146,1247,603,5,181,11,2024-12-23,,65000.0,0.0557,300,401.99,Paid Off
147,1249,604,3,109,13,2025-11-27,,15000.0,0.0949,84,245.12,Delinquent 60
148,1255,607,1,10,10,2023-03-09,,25000.0,0.056,300,154.98,Current
149,1256,607,3,103,13,2023-10-23,,350000.0,0.0855,120,4347.99,Current
150,1267,613,2,52,13,2023-08-20,,550000.0,0.0843,60,11266.71,Current
151,1302,632,2,71,13,2023-06-15,,65000.0,0.0924,84,1053.8,Delinquent 30
152,1305,633,1,33,12,2023-05-27,,350000.0,0.1033,48,8933.28,Paid Off
153,1311,636,2,52,12,2021-09-04,,350000.0,0.1071,36,11410.23,Delinquent 90+
154,1314,637,2,88,13,2022-11-29,,25000.0,0.0819,36,785.61,Current
155,1322,640,6,218,11,2025-09-23,,65000.0,0.0588,300,413.98,Current
156,1331,644,5,191,12,2025-07-29,,350000.0,0.1046,120,4714.97,Current
157,1338,649,6,218,13,2024-01-30,,15000.0,0.083,120,184.38,Current
158,1351,656,5,173,10,2020-11-29,,65000.0,0.0541,300,395.85,Current
159,1355,658,2,53,12,2023-05-25,,150000.0,0.0969,84,2465.99,Paid Off
160,1360,661,1,45,10,2020-03-10,,350000.0,0.0533,300,2113.71,Current
161,1362,662,4,165,10,2025-12-15,,35000.0,0.0564,300,217.83,Delinquent 30
162,1368,664,2,55,13,2024-04-22,,150000.0,0.0828,60,3061.4,Current
163,1380,669,6,223,10,2025-11-24,,65000.0,0.0556,300,401.56,Delinquent 90+
164,1384,671,4,157,13,2023-11-06,,15000.0,0.0862,84,238.48,Current
165,1387,674,4,149,13,2024-07-15,,550000.0,0.0856,84,8726.29,Current
166,1439,700,2,88,10,2025-07-29,,350000.0,0.0613,300,2282.47,Current
167,1448,706,1,26,11,2022-10-08,,65000.0,0.0533,300,392.46,Charged Off
168,1455,709,5,206,10,2023-04-21,,350000.0,0.0511,300,2067.66,Current
169,1456,709,1,39,11,2024-12-15,,350000.0,0.0643,300,2348.28,Current
170,1461,711,2,47,12,2024-04-12,,150000.0,0.0882,120,1885.3,Current
171,1463,711,3,125,13,2021-04-15,,25000.0,0.0901,60,519.13,Current
172,1471,715,3,99,12,2025-09-17,,150000.0,0.1035,36,4864.76,Current
173,1477,716,5,186,12,2025-06-04,,350000.0,0.0947,120,4522.41,Current
174,1484,721,2,58,10,2022-09-02,,25000.0,0.0542,300,152.27,Current
175,1487,722,4,139,13,2024-09-03,,350000.0,0.0801,84,5457.73,Charged Off
176,1495,726,5,179,10,2022-11-09,,550000.0,0.0532,300,3318.34,Current
177,1498,728,2,83,10,2024-10-02,,350000.0,0.05,300,2046.77,Current
178,1499,728,4,160,12,2024-10-02,,550000.0,0.1008,36,17768.12,Delinquent 90+
179,1502,729,3,113,11,2024-04-18,,25000.0,0.0651,300,168.88,Current
180,1509,732,6,223,12,2024-02-26,,550000.0,0.1061,84,9303.67,Delinquent 30
181,1521,737,3,127,10,2021-09-19,,350000.0,0.0465,300,1975.09,Delinquent 30
182,1534,742,1,7,12,2025-08-16,,350000.0,0.0798,120,4242.13,Current
183,1545,748,5,203,12,2025-06-15,,35000.0,0.0943,120,451.52,Delinquent 60
184,1563,755,5,189,11,2025-08-27,,350000.0,0.0565,300,2180.52,Delinquent 60
185,1581,765,4,136,10,2022-08-27,,25000.0,0.0618,300,163.79,Current
186,1582,765,2,61,13,2022-08-27,,15000.0,0.0757,120,178.64,Delinquent 30
187,1592,771,2,74,10,2025-01-01,,35000.0,0.059,300,223.38,Current
188,1610,780,3,125,10,2024-12-09,,150000.0,0.0404,300,795.36,Paid Off
189,1619,785,5,200,13,2022-10-10,,15000.0,0.0835,120,184.8,Current
190,1626,788,5,182,10,2022-03-23,,25000.0,0.0521,300,149.24,Current
191,1633,792,2,78,12,2024-11-11,,350000.0,0.1033,84,5871.17,Current
192,1635,793,3,92,12,2021-01-22,2022-02-05,25000.0,0.096,120,324.93,Current
193,1639,794,2,63,11,2022-08-14,2025-04-01,65000.0,0.0607,300,421.62,Delinquent 30
194,1642,795,2,80,13,2025-03-13,,550000.0,0.0805,48,13439.84,Current
195,1647,799,2,46,11,2023-05-30,,350000.0,0.0604,300,2262.67,Delinquent 30
196,1663,807,1,36,11,2020-09-04,,350000.0,0.05,300,2046.81,Delinquent 30
197,1666,808,6,215,11,2025-10-04,,65000.0,0.0689,300,455.05,Current
198,1669,810,1,44,12,2025-01-30,,350000.0,0.0902,36,11133.55,Current
199,1674,812,1,14,13,2025-07-20,,550000.0,0.0845,120,6804.74,Current
200,1681,817,4,131,12,2022-07-25,,150000.0,0.1069,84,2543.9,Current
201,1688,821,6,216,12,2023-10-21,,350000.0,0.0949,36,11210.46,Current
202,1690,823,5,177,13,2022-12-13,,350000.0,0.0731,36,10856.75,Delinquent 60
203,1692,823,3,98,10,2022-12-13,,150000.0,0.0498,300,874.97,Current
204,1697,825,2,68,10,2025-09-03,,350000.0,0.0583,300,2219.39,Current
205,1710,831,6,211,13,2023-03-29,,15000.0,0.0897,36,476.82,Current
206,1718,834,1,37,11,2022-07-24,2024-11-25,150000.0,0.0662,300,1024.29,Current
207,1724,836,2,89,10,2023-05-21,,65000.0,0.0508,300,383.21,Current
208,1735,843,5,183,11,2025-09-19,,150000.0,0.0674,300,1035.22,Paid Off
209,1736,843,1,5,13,2025-09-19,,15000.0,0.0851,36,473.6,Current
210,1748,847,4,146,10,2024-07-23,,25000.0,0.0546,300,152.96,Current
211,1752,850,3,126,12,2024-10-29,,15000.0,0.1032,36,486.23,Current
212,1775,864,6,213,12,2025-05-14,,25000.0,0.0984,84,412.97,Current
213,1784,867,2,60,10,2022-04-20,2024-04-25,350000.0,0.0517,300,2081.76,Current
214,1785,867,3,111,13,2022-06-17,,25000.0,0.0895,48,621.55,Current
215,1797,873,2,52,13,2025-08-23,,350000.0,0.088,84,5595.73,Current
216,1800,875,2,61,13,2025-10-16,,350000.0,0.0739,120,4134.18,Current
217,1803,876,6,220,12,2024-08-08,,350000.0,0.1057,48,8972.36,Paid Off
218,1807,878,2,85,13,2022-09-06,,15000.0,0.0899,48,373.22,Charged Off
219,1812,880,2,62,10,2025-10-07,,65000.0,0.0587,300,413.6,Current
220,1819,883,4,152,13,2023-11-09,,15000.0,0.0929,36,479.0,Current
221,1827,887,5,199,12,2023-01-28,,350000.0,0.0954,36,11217.81,Paid Off
222,1829,888,3,98,11,2025-10-21,,350000.0,0.0645,300,2352.37,Current
223,1833,890,3,117,11,2021-03-24,,350000.0,0.067,300,2407.37,Current
224,1843,895,2,48,12,2024-09-04,,15000.0,0.0964,48,377.87,Delinquent 30
225,1852,901,3,126,12,2025-05-02,,15000.0,0.0957,84,245.72,Delinquent 90+
226,1857,903,2,86,12,2024-07-19,,350000.0,0.1014,36,11316.73,Current
227,1861,904,1,12,12,2025-01-06,,15000.0,0.0967,120,195.46,Current
228,1863,905,4,140,10,2025-03-09,,25000.0,0.0545,300,152.84,Current
229,1885,919,4,156,11,2024-04-30,,25000.0,0.0614,300,163.23,Current
230,1889,921,4,154,12,2025-03-25,,65000.0,0.1134,60,1424.38,Paid Off
231,1892,923,5,174,13,2024-05-10,,350000.0,0.0885,60,7240.42,Current
232,1909,931,3,129,10,2022-07-05,2023-05-17,350000.0,0.063,300,2320.58,Current
233,1915,934,2,84,12,2022-04-01,,350000.0,0.0965,120,4558.28,Paid Off
234,1918,935,3,130,10,2021-05-16,,350000.0,0.0475,300,1995.74,Current
235,1921,937,5,175,10,2023-07-11,,35000.0,0.0419,300,188.47,Current
236,1928,940,4,153,10,2024-05-15,,550000.0,0.0612,300,3582.6,Current
237,1932,942,4,159,13,2023-10-23,,25000.0,0.0851,60,513.03,Paid Off
238,1935,944,1,35,11,2025-05-07,,15000.0,0.0588,300,95.57,Current
239,1941,946,6,226,13,2022-12-20,,550000.0,0.0867,36,17404.27,Current
240,1943,947,5,200,12,2025-08-07,,150000.0,0.1005,120,1986.68,Current
241,1948,948,1,34,12,2024-09-08,,150000.0,0.0843,84,2370.46,Delinquent 30
242,1953,953,1,9,13,2023-06-24,,350000.0,0.0911,84,5649.98,Current
243,1956,954,3,99,13,2022-02-09,,550000.0,0.0762,84,8469.73,Current
244,1966,958,2,65,12,2022-04-27,,35000.0,0.0931,48,876.18,Delinquent 90+
245,1969,959,2,82,13,2023-02-02,,150000.0,0.0854,60,3080.2,Delinquent 30
246,1979,964,3,121,11,2023-03-17,,25000.0,0.058,300,158.06,Delinquent 30
247,1984,965,1,19,10,2024-07-01,,65000.0,0.0587,300,413.56,Delinquent 60
248,1985,966,3,92,12,2025-08-30,,350000.0,0.1058,36,11388.46,Current
249,1992,969,4,164,11,2025-04-05,,550000.0,0.0726,300,3977.54,Current
250,1995,970,1,41,12,2022-05-24,,35000.0,0.1026,36,1133.56,Current
251,1999,971,1,33,13,2023-05-28,2024-03-15,25000.0,0.0966,120,325.75,Delinquent 30
252,2001,972,3,93,12,2023-07-24,,350000.0,0.099,48,8859.58,Current
253,2003,973,2,68,12,2024-12-11,,65000.0,0.0972,60,1372.08,Current
254,2011,978,4,163,10,2023-04-22,,350000.0,0.0519,300,2084.19,Delinquent 30
255,2016,982,5,200,12,2022-02-11,,35000.0,0.0889,36,1111.24,Current
256,2027,988,3,125,12,2022-12-14,,35000.0,0.1027,84,585.95,Paid Off
257,2048,1001,2,69,12,2022-03-12,,150000.0,0.0903,120,1902.83,Current
258,2054,1003,1,18,12,2025-03-28,,550000.0,0.0977,48,13887.83,Current
259,2069,1010,3,117,13,2021-04-14,,550000.0,0.0863,84,8746.75,Current
260,2077,1013,2,47,11,2024-10-03,,35000.0,0.056,300,217.0,Current
261,2087,1019,3,105,12,2025-09-08,,25000.0,0.0829,60,510.38,Current
262,2088,1019,6,216,10,2024-08-02,,550000.0,0.053,300,3311.91,Paid Off
263,2093,1023,1,29,10,2022-09-10,,350000.0,0.051,300,2067.08,Current
264,2096,1024,3,118,12,2025-05-11,,350000.0,0.0937,60,7328.13,Current
265,2099,1026,2,66,11,2023-11-30,,150000.0,0.0711,300,1070.56,Current
266,2103,1027,4,158,10,2025-12-04,,65000.0,0.0454,300,362.82,Current
267,2108,1030,1,30,12,2021-06-09,,35000.0,0.0937,84,569.64,Current
268,2117,1035,1,19,12,2025-01-20,,150000.0,0.09,36,4770.1,Current
269,2125,1037,2,53,10,2025-11-27,,350000.0,0.0411,300,1868.98,Current
270,2129,1039,3,108,12,2025-03-19,,25000.0,0.0781,60,504.58,Current
271,2149,1047,6,221,12,2022-07-04,,550000.0,0.0871,36,17415.78,Current
272,2154,1048,3,94,10,2023-08-12,,150000.0,0.0605,300,970.97,Current
273,2163,1053,2,79,13,2025-11-08,,350000.0,0.0827,60,7142.29,Current
274,2181,1063,5,178,13,2025-09-04,,25000.0,0.08,48,610.32,Current
275,2190,1067,3,106,13,2024-08-06,,35000.0,0.0855,84,555.21,Current
276,2193,1070,4,148,13,2025-07-03,,35000.0,0.0845,60,717.18,Current
277,2203,1073,5,205,11,2020-08-23,,150000.0,0.0619,300,983.64,Current
278,2208,1076,2,48,13,2025-09-15,,25000.0,0.0784,60,505.02,Current
279,2214,1079,5,203,10,2024-07-30,,350000.0,0.0533,300,2113.9,Current
280,2221,1084,2,51,11,2025-07-27,,65000.0,0.0613,300,423.84,Current
281,2224,1085,5,182,10,2025-10-21,,150000.0,0.0566,300,935.5,Delinquent 30
282,2225,1085,3,91,12,2023-10-28,,350000.0,0.0909,48,8724.8,Delinquent 60
283,2228,1086,5,180,13,2025-03-01,,65000.0,0.0796,48,1585.55,Current
284,2235,1088,1,7,11,2022-03-08,,35000.0,0.0643,300,234.81,Current
285,2247,1092,4,155,12,2025-12-15,,550000.0,0.0952,60,11556.4,Charged Off
286,2249,1093,3,129,10,2023-12-10,,350000.0,0.0454,300,1954.11,Current
287,2259,1099,3,121,13,2025-08-05,,350000.0,0.0895,48,8702.26,Delinquent 60
288,2264,1101,3,100,12,2025-01-18,,25000.0,0.1002,120,330.68,Current
289,2266,1102,6,210,10,2025-01-18,,35000.0,0.055,300,214.87,Current
290,2280,1109,1,44,10,2023-07-24,,550000.0,0.0569,300,3441.36,Current
291,2284,1110,2,61,12,2023-04-14,,15000.0,0.1009,36,484.63,Current
292,2289,1114,5,179,12,2021-07-13,,25000.0,0.1007,60,532.05,Current
293,2292,1115,3,113,11,2025-02-11,,25000.0,0.0529,300,150.33,Current
294,2309,1123,1,31,11,2025-02-08,,35000.0,0.0566,300,218.37,Current
295,2316,1125,5,198,11,2025-10-06,,350000.0,0.0642,300,2346.35,Paid Off
296,2318,1126,3,107,12,2022-12-08,,350000.0,0.1015,120,4653.73,Current
297,2327,1132,1,26,11,2024-10-10,,350000.0,0.0616,300,2290.34,Current
298,2352,1145,1,17,12,2023-12-24,,15000.0,0.0948,36,480.33,Current
299,2373,1155,2,54,12,2025-05-22,,150000.0,0.097,48,3782.95,Current
300,2383,1160,4,133,12,2025-09-12,,550000.0,0.0937,120,7078.94,Current
301,2387,1161,4,159,12,2024-02-19,,550000.0,0.1003,120,7276.03,Current
302,2396,1168,3,126,12,2024-05-16,,15000.0,0.1053,120,202.64,Delinquent 30
303,2413,1174,3,107,12,2023-03-14,,550000.0,0.0971,60,11606.52,Current
304,2418,1176,1,9,13,2025-02-21,,35000.0,0.0845,60,717.15,Paid Off
305,2423,1179,4,141,11,2025-11-27,,350000.0,0.0547,300,2142.71,Current
306,2446,1191,2,46,12,2025-03-04,,350000.0,0.098,120,4586.56,Delinquent 30
307,2459,1196,1,32,13,2024-07-12,,25000.0,0.0868,120,312.44,Delinquent 90+
308,2465,1201,2,86,13,2024-10-22,,65000.0,0.0801,48,1587.13,Current
309,2471,1203,3,95,12,2023-07-10,,350000.0,0.0997,120,4619.91,Delinquent 90+
310,2472,1203,2,55,11,2023-12-10,,35000.0,0.0742,300,256.77,Current
311,2484,1209,3,126,11,2025-11-02,,35000.0,0.0606,300,226.86,Current
312,2506,1219,4,160,12,2023-06-22,,25000.0,0.1009,120,331.62,Current
313,2513,1223,1,28,11,2022-07-03,,15000.0,0.0556,300,92.63,Current
314,2520,1227,3,115,12,2025-10-11,,350000.0,0.1075,120,4771.52,Current
315,2523,1228,6,222,11,2025-03-10,,15000.0,0.0698,300,105.81,Current
316,2534,1233,5,199,10,2024-11-04,,35000.0,0.0553,300,215.51,Current
317,2539,1234,4,139,10,2022-01-25,,350000.0,0.0398,300,1843.93,Current
318,2546,1237,2,71,10,2024-05-31,,150000.0,0.0509,300,885.12,Current
319,2547,1237,4,166,12,2024-05-31,,350000.0,0.1046,120,4715.6,Current
320,2553,1240,5,201,12,2025-11-10,,550000.0,0.1008,48,13970.72,Current
321,2554,1240,1,45,13,2022-02-27,,550000.0,0.0737,120,6492.45,Current
322,2564,1246,2,86,11,2024-03-11,,35000.0,0.0616,300,228.99,Current
323,2583,1254,1,33,12,2022-06-03,2024-09-16,25000.0,0.1027,48,637.27,Current
324,2590,1258,1,41,12,2025-01-08,,25000.0,0.0917,60,521.01,Current
325,2593,1260,1,35,10,2025-01-13,,350000.0,0.0452,300,1949.49,Current
326,2598,1262,4,142,11,2021-04-25,,150000.0,0.0588,300,955.07,Current
327,2609,1268,4,140,13,2025-09-16,,35000.0,0.0893,48,869.74,Paid Off
328,2611,1269,5,204,11,2023-07-16,,350000.0,0.0642,300,2345.43,Current
329,2615,1271,3,104,11,2024-12-30,,65000.0,0.0639,300,434.48,Current
330,2616,1271,1,14,13,2024-12-30,,15000.0,0.099,48,379.69,Current
331,2618,1271,3,130,12,2025-05-20,,25000.0,0.0932,120,321.0,Delinquent 60
332,2620,1273,3,122,10,2021-07-25,,35000.0,0.0525,300,209.74,Current
333,2624,1274,3,116,13,2023-01-17,,25000.0,0.0828,84,393.11,Current
