fraud_alert_id,transaction_id,account_id,customer_id,institution_id,branch_id,alert_date,alert_type,severity,confirmed_fraud_flag,estimated_loss_amount,resolution_status
126,41298,3739,1826,2,85,2025-02-11,Unusual Amount,Low,False,0.0,Under Review
127,8117,5265,2586,1,14,2024-03-13,Geo Mismatch,Low,False,0.0,Closed - False Positive
128,68296,10413,5076,5,173,2024-05-06,Card Not Present,Medium,False,0.0,Closed - False Positive
129,47520,5902,2897,2,48,2023-12-09,High Risk Merchant,Medium,True,150.89,Closed - Confirmed Fraud
130,53879,2023,986,6,217,2023-04-18,Velocity Spike,Critical,True,12.66,Account Frozen
131,48300,8099,3959,2,72,2024-09-08,Unusual Amount,Low,False,0.0,Closed - False Positive
132,65833,14248,6941,1,8,2023-09-09,High Risk Merchant,Medium,False,0.0,Closed - False Positive
133,16677,10436,5085,5,171,2023-03-12,Velocity Spike,Low,False,0.0,Account Frozen
134,3529,8841,4325,5,198,2023-06-09,Card Not Present,Low,False,0.0,Closed - Confirmed Fraud
135,51271,12990,6323,3,99,2024-10-25,Geo Mismatch,Low,False,0.0,Closed - False Positive
136,8532,11353,5533,2,79,2025-10-09,Card Not Present,Low,False,0.0,Closed - False Positive
137,67520,4346,2127,5,172,2023-11-19,High Risk Merchant,High,True,99.36,Closed - Confirmed Fraud
138,49305,7061,3456,3,111,2023-07-14,Unusual Amount,Low,False,0.0,Closed - Confirmed Fraud
139,28808,9550,4661,3,115,2025-01-10,Unusual Amount,Low,False,0.0,Closed - False Positive
140,52883,3780,1844,5,183,2025-01-03,Geo Mismatch,High,True,30.9,Closed - Confirmed Fraud
141,51266,12700,6173,1,25,2024-01-30,Unusual Amount,Critical,True,119.29,Customer Contacted
142,40805,1568,758,3,94,2023-01-01,Card Not Present,High,True,67.78,Closed - Confirmed Fraud
143,35997,3617,1770,3,123,2024-02-05,Geo Mismatch,High,False,0.0,Customer Contacted
144,35916,1018,495,2,60,2025-08-11,Card Not Present,Low,False,0.0,Closed - False Positive
145,11132,11333,5524,5,194,2023-07-17,Known Compromise,Medium,False,0.0,Under Review
146,3854,8594,4194,1,18,2024-01-25,Velocity Spike,High,True,162.7,Closed - Confirmed Fraud
147,18378,5926,2907,4,139,2023-01-04,Geo Mismatch,Low,False,0.0,Closed - False Positive
148,26193,13365,6506,6,222,2024-03-12,Card Not Present,Low,False,0.0,Customer Contacted
149,51824,14224,6931,1,41,2024-02-21,High Risk Merchant,Medium,False,0.0,Closed - False Positive
150,46337,7049,3451,2,82,2024-12-23,Velocity Spike,Medium,False,0.0,Closed - False Positive
151,18939,9095,4441,1,41,2023-03-23,Card Not Present,Medium,False,0.0,Customer Contacted
152,29206,5703,2796,5,199,2024-05-09,Card Not Present,Low,False,0.0,Closed - False Positive
153,8908,12722,6184,1,1,2025-01-20,Geo Mismatch,Low,False,0.0,Closed - Confirmed Fraud
154,16012,6667,3263,2,57,2023-04-02,Card Not Present,Medium,False,0.0,Closed - False Positive
155,26068,13333,6489,2,67,2024-01-13,Known Compromise,Low,False,0.0,Closed - Confirmed Fraud
156,37272,10270,5006,4,169,2025-05-09,Velocity Spike,Medium,False,0.0,Closed - False Positive
157,50893,13484,6561,4,158,2023-08-28,Unusual Amount,High,True,208.26,Closed - Confirmed Fraud
158,58250,2659,1289,6,216,2023-05-13,Card Not Present,Low,False,0.0,Customer Contacted
159,61261,5859,2876,6,224,2023-09-17,High Risk Merchant,High,False,0.0,Closed - False Positive
160,68215,8093,3957,2,77,2025-08-22,Velocity Spike,High,False,0.0,Closed - Confirmed Fraud
161,61484,7246,3550,1,41,2023-05-27,Card Not Present,Low,False,0.0,Closed - False Positive
162,38785,1197,582,4,144,2023-02-08,Card Not Present,Low,False,0.0,Customer Contacted
163,19048,10352,5049,1,13,2025-04-04,Velocity Spike,Low,False,0.0,Closed - False Positive
164,52815,6330,3100,5,190,2023-05-26,Unusual Amount,High,True,702.21,Account Frozen
165,34967,4884,2394,5,185,2024-12-18,Card Not Present,High,False,0.0,Customer Contacted
166,46025,13527,6582,3,125,2025-07-11,Card Not Present,Low,False,0.0,Under Review
167,12116,4994,2447,3,120,2024-12-29,Geo Mismatch,Low,False,0.0,Closed - False Positive
168,21280,4520,2213,6,226,2025-02-16,Unusual Amount,High,True,214.9,Account Frozen
169,32791,3700,1808,3,111,2024-02-07,Unusual Amount,Low,False,0.0,Account Frozen
170,36250,11994,5842,5,180,2024-01-21,Velocity Spike,High,False,0.0,Closed - False Positive
171,22008,11841,5771,3,116,2025-11-16,Velocity Spike,Low,False,0.0,Account Frozen
172,58814,1758,853,2,46,2025-11-12,High Risk Merchant,Medium,False,0.0,Closed - Confirmed Fraud
173,39688,6482,3170,4,156,2024-08-02,Known Compromise,Low,False,0.0,Closed - False Positive
174,35966,2717,1312,3,97,2023-03-17,Velocity Spike,Low,False,0.0,Closed - False Positive
175,33667,9877,4814,2,74,2023-05-30,Velocity Spike,Critical,False,0.0,Under Review
176,41335,2643,1282,2,62,2024-03-26,Geo Mismatch,High,True,72.62,Customer Contacted
177,50842,194,93,2,64,2025-12-26,High Risk Merchant,Critical,True,117.47,Closed - Confirmed Fraud
178,19695,3362,1646,3,118,2024-12-14,Unusual Amount,High,False,0.0,Closed - False Positive
179,22924,8873,4340,3,110,2023-02-28,Card Not Present,High,False,0.0,Customer Contacted
180,12207,7283,3570,2,82,2024-07-19,Card Not Present,Low,False,0.0,Customer Contacted
181,28179,9726,4745,4,154,2023-02-26,Unusual Amount,Low,False,0.0,Closed - False Positive
182,9225,5160,2534,1,27,2024-02-18,Velocity Spike,Medium,False,0.0,Under Review
183,17046,286,137,1,38,2023-01-14,Card Not Present,Medium,False,0.0,Customer Contacted
184,54254,13728,6683,3,101,2024-11-26,Card Not Present,Low,False,0.0,Closed - Confirmed Fraud
185,12586,11930,5815,2,87,2024-09-04,Card Not Present,Medium,False,0.0,Closed - Confirmed Fraud
186,67006,13222,6438,3,95,2023-05-20,High Risk Merchant,Medium,False,0.0,Closed - False Positive
187,34554,4681,2292,3,102,2024-12-30,Known Compromise,Medium,False,0.0,Closed - False Positive
188,45840,2307,1123,4,169,2023-03-10,Unusual Amount,High,False,0.0,Customer Contacted
189,16215,3398,1667,5,196,2024-05-16,Card Not Present,High,False,0.0,Under Review
190,43134,13304,6477,4,142,2025-07-14,Unusual Amount,Medium,False,0.0,Customer Contacted
191,37171,3533,1732,5,175,2023-11-13,Velocity Spike,High,True,212.89,Closed - Confirmed Fraud
192,16066,9011,4407,2,86,2025-04-19,Velocity Spike,Critical,True,341.53,Closed - Confirmed Fraud
193,26578,13331,6488,5,189,2024-04-26,Card Not Present,Low,False,0.0,Closed - False Positive
194,4727,5201,2554,4,168,2023-02-24,Velocity Spike,High,False,0.0,Closed - Confirmed Fraud
195,2076,9891,4820,5,203,2025-10-07,Velocity Spike,Low,False,0.0,Closed - False Positive
196,65696,7916,3871,5,206,2024-08-14,Card Not Present,Medium,False,0.0,Account Frozen
197,57901,8988,4393,4,151,2023-08-22,High Risk Merchant,Low,False,0.0,Closed - Confirmed Fraud
198,42347,8098,3959,2,69,2024-04-09,Velocity Spike,Low,False,0.0,Closed - False Positive
199,32123,12519,6089,5,204,2025-06-09,Velocity Spike,Medium,True,241.66,Closed - Confirmed Fraud
200,68384,7590,3718,4,160,2023-05-29,Velocity Spike,High,False,0.0,Closed - False Positive
201,20253,11256,5481,6,225,2024-07-23,Unusual Amount,Low,False,0.0,Closed - False Positive
202,14294,7159,3505,3,104,2024-07-13,Unusual Amount,High,False,0.0,Under Review
203,42246,542,257,2,88,2023-05-01,Velocity Spike,Medium,True,250.33,Account Frozen
204,23901,13830,6738,3,107,2024-08-15,High Risk Merchant,Low,False,0.0,Closed - False Positive
205,20770,12631,6141,1,4,2024-12-21,Velocity Spike,Low,False,0.0,Closed - False Positive
206,40539,12709,6178,2,48,2025-05-24,Card Not Present,Medium,True,268.89,Closed - Confirmed Fraud
207,45830,12622,6135,3,117,2024-07-12,Geo Mismatch,Medium,False,0.0,Closed - False Positive
208,60596,5001,2450,3,100,2025-01-01,High Risk Merchant,Low,False,0.0,Closed - False Positive
209,17712,3571,1749,5,191,2023-08-21,Card Not Present,Low,False,0.0,Closed - False Positive
210,11090,9147,4466,1,37,2023-12-10,Unusual Amount,Medium,False,0.0,Closed - False Positive
211,53011,5760,2828,2,68,2024-11-23,High Risk Merchant,Low,False,0.0,Closed - False Positive
212,52848,10506,5117,2,76,2024-08-21,Unusual Amount,Low,False,0.0,Under Review
213,48318,11639,5678,3,113,2024-12-08,Unusual Amount,Medium,False,0.0,Closed - False Positive
214,59029,6487,3172,1,41,2023-06-03,Card Not Present,Low,False,0.0,Closed - Confirmed Fraud
215,66440,9704,4735,5,190,2023-02-08,High Risk Merchant,Medium,False,0.0,Closed - Confirmed Fraud
216,36706,14179,6909,1,13,2024-03-02,Unusual Amount,High,False,0.0,Closed - Confirmed Fraud
217,1457,10238,4993,3,95,2024-04-27,Unusual Amount,Low,False,0.0,Closed - False Positive
218,65171,80,35,4,151,2023-08-19,High Risk Merchant,Medium,False,0.0,Customer Contacted
219,35913,5322,2613,3,121,2023-06-30,Velocity Spike,Medium,False,0.0,Closed - False Positive
220,66045,9310,4545,5,199,2023-10-10,Geo Mismatch,High,False,0.0,Customer Contacted
221,3466,14290,6966,4,148,2025-08-12,Unusual Amount,Low,False,0.0,Closed - False Positive
222,43458,903,438,3,102,2023-07-05,High Risk Merchant,High,False,0.0,Under Review
223,32176,9603,4686,2,79,2023-09-07,Velocity Spike,Low,False,0.0,Closed - False Positive
224,1816,9543,4659,6,221,2024-09-25,High Risk Merchant,Low,False,0.0,Customer Contacted
225,37746,10368,5058,2,66,2025-09-03,Unusual Amount,Medium,True,275.28,Closed - Confirmed Fraud
226,68530,1400,680,6,215,2024-10-04,Velocity Spike,Medium,False,0.0,Customer Contacted
227,46304,12128,5902,2,79,2023-06-08,Velocity Spike,High,True,37.14,Account Frozen
228,56996,3498,1713,4,149,2024-07-27,High Risk Merchant,High,True,332.69,Account Frozen
229,29580,12108,5894,1,11,2023-02-12,Card Not Present,Low,False,0.0,Closed - False Positive
230,17903,9531,4653,5,194,2025-07-06,High Risk Merchant,Medium,False,0.0,Under Review
231,34489,9275,4527,1,6,2025-10-31,Velocity Spike,Medium,False,0.0,Closed - False Positive
232,26071,9800,4778,3,98,2023-01-19,Velocity Spike,Low,False,0.0,Closed - False Positive
233,40749,4637,2268,2,47,2024-12-02,Known Compromise,Medium,False,0.0,Closed - False Positive
234,11786,1762,857,3,101,2024-03-19,Unusual Amount,High,False,0.0,Closed - False Positive
235,64759,3560,1743,4,169,2025-01-24,High Risk Merchant,Low,False,0.0,Closed - Confirmed Fraud
236,40633,9075,4433,1,30,2023-07-11,Known Compromise,Low,False,0.0,Under Review
237,41783,13114,6384,2,57,2024-06-21,Unusual Amount,Low,False,0.0,Closed - Confirmed Fraud
238,6328,7617,3730,4,168,2025-11-10,High Risk Merchant,Low,False,0.0,Under Review
239,30472,5492,2695,1,1,2023-03-25,Card Not Present,Medium,False,0.0,Customer Contacted
240,11673,6130,3004,4,166,2023-07-13,Card Not Present,Low,False,0.0,Closed - Confirmed Fraud
241,19622,11306,5506,6,217,2025-12-26,Card Not Present,Low,False,0.0,Closed - False Positive
242,26707,13186,6420,2,63,2025-04-21,Velocity Spike,Medium,True,530.55,Customer Contacted
243,19358,11901,5799,6,211,2023-01-21,Unusual Amount,Medium,False,0.0,Closed - Confirmed Fraud
244,55693,4338,2122,5,204,2024-10-12,Known Compromise,Medium,False,0.0,Closed - False Positive
245,40077,10362,5054,4,158,2024-04-17,Unusual Amount,High,False,0.0,Closed - Confirmed Fraud
246,2513,8030,3925,1,3,2025-02-08,High Risk Merchant,Medium,False,0.0,Closed - Confirmed Fraud
247,57230,8032,3926,5,196,2024-01-27,Unusual Amount,High,False,0.0,Customer Contacted
248,27677,7090,3471,5,203,2025-01-04,Velocity Spike,Medium,False,0.0,Closed - False Positive
249,14672,14291,6967,1,14,2025-06-22,Velocity Spike,Low,False,0.0,Customer Contacted
250,64789,14237,6936,2,50,2024-04-22,Velocity Spike,Low,False,0.0,Closed - False Positive
251,58209,13994,6822,4,138,2023-04-07,Card Not Present,Medium,False,0.0,Closed - False Positive
252,55523,8719,4263,3,106,2024-12-03,Velocity Spike,Low,False,0.0,Account Frozen
253,17780,6358,3113,3,120,2024-11-05,High Risk Merchant,Low,False,0.0,Closed - False Positive
254,17266,611,291,4,136,2024-07-16,Card Not Present,High,False,0.0,Closed - False Positive
255,49934,3189,1557,5,172,2024-08-28,Geo Mismatch,Medium,False,0.0,Closed - False Positive
256,35835,7925,3875,1,20,2025-12-11,Geo Mismatch,Low,False,0.0,Closed - False Positive
257,63278,12442,6050,5,172,2025-11-20,Card Not Present,Low,False,0.0,Closed - False Positive
258,6567,2357,1146,1,10,2025-05-06,Velocity Spike,Critical,False,0.0,Closed - False Positive
259,29171,2289,1114,5,179,2023-10-06,Unusual Amount,Critical,True,402.56,Account Frozen
260,47842,2358,1147,5,206,2025-05-12,Geo Mismatch,Medium,False,0.0,Under Review
261,33775,10448,5092,1,36,2023-03-26,Velocity Spike,Low,False,0.0,Closed - Confirmed Fraud
262,59113,4851,2377,2,48,2024-01-03,Card Not Present,Medium,False,0.0,Customer Contacted
263,32843,13353,6502,2,50,2023-04-28,Velocity Spike,Medium,False,0.0,Closed - Confirmed Fraud
264,28782,1641,795,1,17,2025-09-25,Unusual Amount,Low,False,0.0,Closed - False Positive
265,9517,13558,6598,2,71,2025-09-16,Velocity Spike,Low,False,0.0,Closed - False Positive
266,9783,1437,699,2,48,2023-08-13,Unusual Amount,High,False,0.0,Closed - False Positive
267,67026,4520,2213,6,226,2025-06-09,Velocity Spike,Low,True,516.74,Account Frozen
268,18774,11368,5540,2,54,2023-06-26,Unusual Amount,Medium,False,0.0,Closed - False Positive
269,16905,4017,1964,2,78,2024-12-14,High Risk Merchant,High,True,434.57,Customer Contacted
270,19770,11165,5435,3,101,2025-02-21,Geo Mismatch,Medium,False,0.0,Closed - False Positive
271,30077,12802,6223,2,62,2023-12-08,Card Not Present,Low,False,0.0,Closed - False Positive
272,69941,6557,3202,1,43,2025-01-24,Known Compromise,High,False,0.0,Customer Contacted
273,67559,840,404,1,21,2024-02-25,Unusual Amount,Low,False,0.0,Closed - False Positive
274,20387,13392,6521,2,61,2024-08-02,Unusual Amount,Low,False,0.0,Closed - Confirmed Fraud
275,36419,3336,1631,4,149,2023-08-13,High Risk Merchant,High,False,0.0,Closed - False Positive
276,61952,296,142,2,76,2024-03-09,High Risk Merchant,Low,False,0.0,Closed - False Positive
277,26869,1589,769,1,40,2023-05-28,Unusual Amount,Medium,False,0.0,Closed - False Positive
278,2460,728,345,4,136,2023-10-03,Velocity Spike,Low,False,0.0,Under Review
279,40808,13479,6560,1,2,2025-12-03,Velocity Spike,Medium,False,0.0,Closed - False Positive
280,47505,10547,5138,3,108,2025-02-10,Unusual Amount,High,True,704.7,Customer Contacted
281,1142,3592,1759,3,127,2023-06-06,High Risk Merchant,Low,False,0.0,Closed - Confirmed Fraud
282,27656,6439,3153,1,35,2023-05-30,High Risk Merchant,Medium,True,202.5,Account Frozen
283,49797,2369,1154,4,153,2024-11-05,Velocity Spike,Medium,False,0.0,Customer Contacted
284,8359,8728,4268,3,113,2023-09-20,Known Compromise,High,False,0.0,Closed - False Positive
285,38047,8814,4311,2,76,2024-10-03,High Risk Merchant,Low,False,0.0,Account Frozen
286,68451,13382,6514,3,100,2024-09-06,Card Not Present,Low,False,0.0,Closed - False Positive
287,63525,4224,2065,2,59,2023-02-05,High Risk Merchant,Low,False,0.0,Closed - False Positive
