service_request_id,service_request_number,customer_id,account_id,institution_id,branch_id,created_date,request_type,priority,sla_target_hours,resolution_hours,sla_breached_flag,request_status,request_channel
83,SR-00000083,1151,2366,3,118,2024-02-26,Account Maintenance,Low,72,89.7,True,Closed Without Resolution,Branch
84,SR-00000084,4802,9852,4,145,2023-08-24,Digital Banking Support,Medium,48,65.5,True,Resolved,Online Banking
85,SR-00000085,2524,5146,4,156,2024-01-01,Mortgage Inquiry,Low,72,52.6,False,Closed Without Resolution,Phone
86,SR-00000086,2736,5576,2,75,2025-12-26,Dispute,High,24,47.4,True,Resolved,Phone
87,SR-00000087,1753,3581,4,142,2024-04-14,Complaint,Low,72,180.6,True,Resolved,Online Banking
88,SR-00000088,1994,4087,4,143,2024-05-01,Dispute,High,24,10.6,False,Open,Branch
89,SR-00000089,5909,12149,4,149,2025-01-10,Investment Inquiry,Low,72,77.7,True,Resolved,Phone
90,SR-00000090,5992,12325,4,149,2023-01-27,Dispute,Low,72,42.8,False,Resolved,Mobile App
91,SR-00000091,3045,6218,2,65,2025-09-06,Account Maintenance,Low,72,14.0,False,Open,Online Banking
92,SR-00000092,5683,11647,2,58,2024-04-15,Dispute,Low,72,43.4,False,Resolved,Mobile App
93,SR-00000093,2070,4234,6,218,2025-09-13,Dispute,Medium,48,117.3,True,Open,Phone
94,SR-00000094,1284,2647,4,143,2025-05-24,Investment Inquiry,Medium,48,51.4,True,Escalated,Phone
95,SR-00000095,4091,8370,4,164,2024-08-07,Fraud Support,Low,72,80.5,True,Resolved,Branch
96,SR-00000096,2575,5247,5,187,2023-05-22,Complaint,Urgent,8,19.6,True,Resolved,Branch
97,SR-00000097,3312,6764,2,78,2024-04-12,Card Replacement,Medium,48,57.9,True,Resolved,Phone
98,SR-00000098,5890,12096,1,11,2024-05-13,Digital Banking Support,Medium,48,37.8,False,Resolved,Online Banking
99,SR-00000099,1913,3920,5,184,2024-05-27,Digital Banking Support,Medium,48,18.2,False,Resolved,Branch
100,SR-00000100,2240,4577,4,162,2024-12-22,Investment Inquiry,Medium,48,58.6,True,Resolved,Branch
101,SR-00000101,4193,8590,3,98,2025-03-12,Card Replacement,High,24,17.8,False,Open,Mobile App
102,SR-00000102,2806,5723,4,162,2023-11-18,Dispute,Medium,48,19.2,False,Open,Phone
103,SR-00000103,4142,8479,4,144,2025-04-26,Investment Inquiry,Medium,48,80.8,True,Resolved,Phone
104,SR-00000104,761,1574,6,211,2023-02-27,Account Maintenance,Low,72,83.7,True,Resolved,Phone
105,SR-00000105,395,822,4,165,2023-09-06,Complaint,Low,72,19.5,False,Resolved,Phone
106,SR-00000106,3844,7865,2,63,2024-02-04,Card Replacement,Medium,48,17.3,False,Resolved,Mobile App
107,SR-00000107,663,1365,5,202,2025-06-09,Mortgage Inquiry,Low,72,42.5,False,Resolved,Email
108,SR-00000108,3893,7963,4,153,2025-06-08,Account Maintenance,Medium,48,59.4,True,Resolved,Email
109,SR-00000109,4920,10090,6,226,2023-09-27,Investment Inquiry,High,24,27.8,True,Resolved,Phone
110,SR-00000110,2169,4437,2,48,2023-10-30,Account Maintenance,Medium,48,21.9,False,Resolved,Branch
111,SR-00000111,6438,13222,3,95,2025-08-05,Mortgage Inquiry,Urgent,8,1.3,False,Resolved,Mobile App
112,SR-00000112,6976,14308,2,53,2023-08-22,Complaint,Low,72,24.3,False,Resolved,Branch
113,SR-00000113,4868,9991,4,162,2025-01-23,Dispute,Low,72,37.1,False,Closed Without Resolution,Online Banking
114,SR-00000114,445,917,5,203,2024-01-21,Card Replacement,Low,72,33.1,False,Resolved,Phone
115,SR-00000115,3749,7659,3,101,2025-11-01,Card Replacement,Urgent,8,4.1,False,Resolved,Branch
116,SR-00000116,5078,10417,3,103,2023-01-09,Dispute,Low,72,18.2,False,Resolved,Online Banking
117,SR-00000117,73,157,2,72,2025-08-11,Dispute,High,24,15.4,False,Closed Without Resolution,Email
118,SR-00000118,6068,12484,6,216,2025-05-24,Digital Banking Support,High,24,12.2,False,Escalated,Mobile App
119,SR-00000119,4274,8740,3,100,2025-06-14,Digital Banking Support,High,24,24.7,True,Resolved,Branch
120,SR-00000120,5195,10665,3,123,2023-05-13,Account Maintenance,Low,72,30.2,False,Escalated,Mobile App
121,SR-00000121,3704,7563,3,94,2023-04-16,Dispute,Low,72,41.8,False,Resolved,Phone
122,SR-00000122,1835,3757,2,89,2023-07-18,Card Replacement,Low,72,51.2,False,Escalated,Email
123,SR-00000123,3098,6327,3,112,2024-05-01,Digital Banking Support,High,24,11.7,False,Resolved,Online Banking
124,SR-00000124,1784,3645,4,162,2023-05-17,Mortgage Inquiry,High,24,5.9,False,Resolved,Email
125,SR-00000125,3618,7381,2,70,2025-01-03,Dispute,Urgent,8,4.8,False,Resolved,Mobile App
126,SR-00000126,6469,13288,4,139,2025-12-05,Dispute,Medium,48,107.6,True,Resolved,Phone
127,SR-00000127,4231,8665,1,19,2025-03-24,Complaint,Medium,48,103.6,True,Resolved,Phone
128,SR-00000128,2368,4828,4,151,2024-12-13,Card Replacement,Medium,48,30.0,False,Resolved,Branch
129,SR-00000129,798,1645,3,122,2024-08-21,Dispute,High,24,12.1,False,Resolved,Phone
130,SR-00000130,1582,3237,4,144,2023-12-31,Complaint,Medium,48,44.3,False,Open,Online Banking
131,SR-00000131,562,1149,4,166,2024-04-18,Mortgage Inquiry,Low,72,37.1,False,Resolved,Mobile App
132,SR-00000132,3614,7375,4,150,2023-09-17,Fraud Support,Medium,48,89.4,True,Open,Branch
133,SR-00000133,2568,5232,5,193,2025-10-04,Complaint,Medium,48,23.1,False,Resolved,Online Banking
134,SR-00000134,595,1229,4,157,2025-05-27,Card Replacement,High,24,13.1,False,Resolved,Mobile App
135,SR-00000135,1041,2135,1,27,2024-08-04,Complaint,Low,72,99.1,True,Resolved,Mobile App
136,SR-00000136,2610,5311,6,216,2025-03-21,Account Maintenance,High,24,37.4,True,Resolved,Online Banking
137,SR-00000137,1883,3859,1,18,2025-03-10,Complaint,Medium,48,46.9,False,Resolved,Phone
138,SR-00000138,4540,9301,4,170,2023-08-22,Investment Inquiry,Medium,48,57.6,True,Resolved,Online Banking
139,SR-00000139,4361,8919,5,206,2023-01-21,Investment Inquiry,Medium,48,22.3,False,Resolved,Online Banking
140,SR-00000140,3565,7274,1,31,2025-10-06,Digital Banking Support,Low,72,23.1,False,Resolved,Mobile App
141,SR-00000141,1660,3385,1,40,2023-05-04,Dispute,Medium,48,27.4,False,Closed Without Resolution,Phone
142,SR-00000142,5707,11697,3,128,2023-06-14,Complaint,Medium,48,34.1,False,Resolved,Mobile App
143,SR-00000143,3422,6985,1,23,2024-10-03,Fraud Support,Medium,48,45.0,False,Resolved,Mobile App
144,SR-00000144,5069,10396,4,147,2024-03-28,Fraud Support,Low,72,108.7,True,Resolved,Mobile App
145,SR-00000145,69,149,5,199,2025-01-01,Mortgage Inquiry,Low,72,72.1,True,Resolved,Phone
146,SR-00000146,1595,3262,4,149,2025-04-25,Complaint,Low,72,45.7,False,Resolved,Branch
147,SR-00000147,4164,8525,4,150,2024-12-31,Card Replacement,Medium,48,37.4,False,Resolved,Branch
148,SR-00000148,2015,4125,1,45,2025-01-19,Card Replacement,Low,72,66.1,False,Resolved,Online Banking
149,SR-00000149,6527,13403,6,219,2025-04-07,Investment Inquiry,Low,72,55.6,False,Resolved,Phone
150,SR-00000150,5877,12073,2,89,2025-08-18,Account Maintenance,Medium,48,49.7,True,Resolved,Branch
151,SR-00000151,1031,2110,4,146,2024-04-20,Fraud Support,Low,72,44.5,False,Resolved,Phone
152,SR-00000152,3017,6162,4,137,2024-03-24,Investment Inquiry,Urgent,8,19.6,True,Resolved,Branch
153,SR-00000153,3139,6410,3,101,2023-11-11,Dispute,Medium,48,54.2,True,Resolved,Online Banking
154,SR-00000154,3241,6629,5,205,2024-03-28,Investment Inquiry,Medium,48,30.3,False,Resolved,Mobile App
155,SR-00000155,1874,3841,2,53,2025-01-04,Account Maintenance,Medium,48,18.2,False,Resolved,Branch
156,SR-00000156,4711,9650,4,167,2024-10-02,Card Replacement,Low,72,45.7,False,Resolved,Mobile App
157,SR-00000157,4170,8538,5,181,2023-04-15,Account Maintenance,Medium,48,21.6,False,Resolved,Phone
158,SR-00000158,2438,4973,2,73,2024-07-25,Investment Inquiry,High,24,6.4,False,Closed Without Resolution,Phone
159,SR-00000159,3280,6695,6,217,2023-06-19,Card Replacement,Low,72,99.4,True,Resolved,Branch
160,SR-00000160,617,1276,3,113,2024-07-02,Card Replacement,Medium,48,47.3,False,Escalated,Phone
161,SR-00000161,1320,2729,6,210,2025-01-21,Investment Inquiry,Medium,48,41.6,False,Closed Without Resolution,Mobile App
162,SR-00000162,6407,13162,5,205,2025-11-13,Card Replacement,Low,72,92.8,True,Resolved,Mobile App
163,SR-00000163,6796,13944,3,119,2024-08-23,Digital Banking Support,Low,72,77.4,True,Closed Without Resolution,Mobile App
164,SR-00000164,202,421,2,60,2023-02-15,Account Maintenance,Medium,48,52.8,True,Resolved,Phone
165,SR-00000165,4531,9285,1,18,2025-12-19,Fraud Support,High,24,12.2,False,Escalated,Online Banking
166,SR-00000166,6421,13187,4,146,2024-11-02,Digital Banking Support,Medium,48,24.2,False,Resolved,Mobile App
167,SR-00000167,775,1603,1,13,2023-05-24,Digital Banking Support,Medium,48,11.1,False,Resolved,Email
168,SR-00000168,1641,3355,4,151,2024-08-04,Account Maintenance,Low,72,102.4,True,Resolved,Email
169,SR-00000169,3066,6267,4,168,2024-12-02,Account Maintenance,Low,72,42.8,False,Open,Phone
170,SR-00000170,6950,14263,3,114,2023-10-09,Card Replacement,Medium,48,27.9,False,Resolved,Branch
171,SR-00000171,5918,12164,3,100,2023-10-15,Card Replacement,Low,72,25.0,False,Open,Branch
172,SR-00000172,1510,3083,1,12,2025-05-31,Digital Banking Support,High,24,58.0,True,Escalated,Online Banking
173,SR-00000173,3289,6714,4,164,2023-11-11,Digital Banking Support,High,24,44.8,True,Closed Without Resolution,Mobile App
174,SR-00000174,3216,6581,3,100,2025-10-15,Account Maintenance,Medium,48,54.5,True,Resolved,Online Banking
175,SR-00000175,3573,7288,5,180,2025-05-26,Digital Banking Support,Medium,48,56.6,True,Resolved,Mobile App
176,SR-00000176,5207,10688,1,25,2024-05-01,Fraud Support,Low,72,51.6,False,Resolved,Branch
177,SR-00000177,6157,12668,6,219,2024-09-29,Card Replacement,Low,72,84.7,True,Resolved,Email
178,SR-00000178,949,1949,1,18,2025-11-17,Complaint,Medium,48,37.5,False,Resolved,Mobile App
179,SR-00000179,3093,6315,1,25,2023-09-20,Digital Banking Support,Low,72,104.4,True,Resolved,Phone
180,SR-00000180,5012,10283,6,209,2023-11-17,Fraud Support,Low,72,14.6,False,Resolved,Branch
181,SR-00000181,1327,2744,3,103,2025-08-08,Card Replacement,High,24,39.9,True,Resolved,Phone
182,SR-00000182,2858,5820,6,222,2024-01-11,Account Maintenance,High,24,20.7,False,Escalated,Branch
183,SR-00000183,2450,5001,3,100,2025-10-20,Complaint,Low,72,40.6,False,Resolved,Online Banking
184,SR-00000184,4315,8822,1,1,2025-03-04,Account Maintenance,Low,72,93.7,True,Resolved,Mobile App
185,SR-00000185,6020,12380,4,149,2023-01-20,Card Replacement,Medium,48,6.5,False,Resolved,Mobile App
186,SR-00000186,5659,11597,2,89,2024-09-04,Card Replacement,High,24,16.4,False,Resolved,Online Banking
187,SR-00000187,3341,6822,4,160,2024-02-17,Digital Banking Support,Medium,48,46.4,False,Resolved,Mobile App
188,SR-00000188,5262,10800,5,181,2024-02-02,Account Maintenance,Low,72,112.9,True,Escalated,Phone
189,SR-00000189,5049,10352,1,13,2025-08-24,Digital Banking Support,Medium,48,25.3,False,Resolved,Mobile App
190,SR-00000190,855,1760,2,48,2024-06-14,Investment Inquiry,Urgent,8,5.8,False,Resolved,Phone
191,SR-00000191,4027,8238,4,165,2025-08-20,Account Maintenance,Medium,48,59.1,True,Resolved,Branch
192,SR-00000192,6932,14227,4,159,2025-05-24,Fraud Support,Medium,48,26.8,False,Resolved,Online Banking
193,SR-00000193,5750,11799,5,193,2023-12-06,Fraud Support,Medium,48,48.0,True,Resolved,Phone
194,SR-00000194,755,1564,1,27,2024-01-12,Mortgage Inquiry,High,24,19.7,False,Resolved,Online Banking
195,SR-00000195,5818,11938,1,45,2024-02-08,Fraud Support,Medium,48,39.5,False,Resolved,Online Banking
196,SR-00000196,721,1484,2,58,2025-03-22,Digital Banking Support,Low,72,58.6,False,Resolved,Online Banking
197,SR-00000197,2481,5061,3,107,2023-01-23,Card Replacement,Medium,48,56.4,True,Open,Mobile App
198,SR-00000198,1711,3495,4,158,2023-08-11,Fraud Support,Urgent,8,2.6,False,Open,Mobile App
199,SR-00000199,4209,8621,4,169,2023-10-04,Account Maintenance,Low,72,21.5,False,Resolved,Phone
200,SR-00000200,4799,9846,3,102,2025-06-30,Card Replacement,Medium,48,182.7,True,Resolved,Branch
201,SR-00000201,502,1031,5,196,2025-04-15,Digital Banking Support,Medium,48,54.2,True,Open,Phone
202,SR-00000202,6296,12938,2,81,2023-03-21,Card Replacement,Medium,48,47.4,False,Resolved,Branch
203,SR-00000203,5192,10660,1,43,2024-12-24,Account Maintenance,Urgent,8,6.9,False,Resolved,Phone
204,SR-00000204,4099,8386,2,70,2023-06-15,Fraud Support,High,24,30.1,True,Open,Online Banking
205,SR-00000205,32,71,4,164,2023-02-24,Investment Inquiry,High,24,14.6,False,Open,Phone
206,SR-00000206,3961,8106,2,81,2024-04-26,Dispute,Medium,48,54.1,True,Resolved,Mobile App
207,SR-00000207,1754,3583,3,99,2025-03-30,Mortgage Inquiry,High,24,27.5,True,Resolved,Online Banking
208,SR-00000208,6049,12438,3,130,2025-02-06,Card Replacement,Low,72,15.8,False,Closed Without Resolution,Mobile App
209,SR-00000209,5927,12185,3,98,2024-06-29,Card Replacement,Medium,48,40.9,False,Resolved,Online Banking
210,SR-00000210,714,1468,1,1,2024-04-10,Dispute,Urgent,8,11.2,True,Resolved,Branch
211,SR-00000211,5265,10807,5,204,2023-09-18,Digital Banking Support,Medium,48,27.5,False,Resolved,Mobile App
212,SR-00000212,6548,13456,2,81,2024-02-09,Mortgage Inquiry,Medium,48,43.4,False,Open,Branch
213,SR-00000213,1232,2532,6,221,2024-01-07,Card Replacement,Low,72,75.4,True,Resolved,Online Banking
214,SR-00000214,541,1101,3,127,2024-09-04,Digital Banking Support,Low,72,47.3,False,Resolved,Online Banking
215,SR-00000215,6925,14211,5,186,2024-01-12,Digital Banking Support,High,24,10.2,False,Resolved,Online Banking
216,SR-00000216,2040,4174,6,213,2025-11-19,Complaint,High,24,9.6,False,Resolved,Online Banking
217,SR-00000217,1990,4077,6,224,2024-10-16,Digital Banking Support,Low,72,107.9,True,Open,Mobile App
218,SR-00000218,36,84,4,160,2023-04-02,Digital Banking Support,Low,72,29.4,False,Resolved,Online Banking
219,SR-00000219,1439,2956,5,207,2025-03-20,Digital Banking Support,Medium,48,16.2,False,Resolved,Branch
220,SR-00000220,4320,8830,2,54,2024-03-01,Account Maintenance,High,24,9.2,False,Closed Without Resolution,Phone
221,SR-00000221,4805,9858,1,39,2023-03-08,Investment Inquiry,Medium,48,12.2,False,Closed Without Resolution,Mobile App
222,SR-00000222,3053,6237,1,30,2024-05-30,Digital Banking Support,Low,72,143.8,True,Resolved,Online Banking
223,SR-00000223,3851,7877,6,221,2025-06-12,Complaint,Medium,48,71.1,True,Resolved,Branch
224,SR-00000224,812,1673,5,205,2023-05-28,Account Maintenance,Low,72,109.2,True,Escalated,Email
225,SR-00000225,3332,6807,3,101,2025-06-30,Investment Inquiry,Low,72,21.7,False,Resolved,Phone
226,SR-00000226,1594,3260,5,188,2024-02-20,Account Maintenance,Medium,48,108.4,True,Open,Branch
227,SR-00000227,906,1864,4,170,2025-03-20,Investment Inquiry,Medium,48,138.9,True,Open,Branch
228,SR-00000228,360,756,5,176,2025-09-14,Card Replacement,Medium,48,36.1,False,Resolved,Phone
229,SR-00000229,5094,10453,4,136,2024-10-27,Fraud Support,Medium,48,62.0,True,Resolved,Online Banking
230,SR-00000230,1856,3803,1,26,2025-06-16,Card Replacement,Low,72,98.6,True,Resolved,Online Banking
231,SR-00000231,889,1831,1,9,2024-09-27,Complaint,Medium,48,20.2,False,Resolved,Mobile App
232,SR-00000232,4216,8637,3,99,2025-11-26,Account Maintenance,Low,72,379.1,True,Resolved,Online Banking
233,SR-00000233,4194,8592,3,109,2023-10-01,Account Maintenance,Medium,48,16.2,False,Resolved,Phone
234,SR-00000234,6092,12524,3,94,2025-05-13,Dispute,Medium,48,52.0,True,Resolved,Branch
235,SR-00000235,2911,5934,1,17,2025-03-11,Dispute,High,24,21.8,False,Open,Online Banking
236,SR-00000236,4096,8378,6,209,2024-12-07,Card Replacement,Low,72,198.0,True,Resolved,Phone
237,SR-00000237,608,1257,1,16,2024-06-22,Account Maintenance,High,24,10.0,False,Resolved,Branch
238,SR-00000238,6853,14057,2,64,2023-02-22,Dispute,Medium,48,8.0,False,Resolved,Mobile App
239,SR-00000239,2064,4223,6,215,2023-09-02,Fraud Support,Medium,48,116.6,True,Closed Without Resolution,Online Banking
240,SR-00000240,853,1758,2,46,2024-11-24,Fraud Support,Low,72,70.8,False,Resolved,Email
241,SR-00000241,821,1688,6,216,2025-08-05,Account Maintenance,High,24,7.6,False,Resolved,Branch
242,SR-00000242,4704,9636,2,86,2025-07-04,Complaint,High,24,4.7,False,Resolved,Branch
243,SR-00000243,674,1387,4,149,2023-01-18,Mortgage Inquiry,Medium,48,13.2,False,Resolved,Email
244,SR-00000244,3573,7290,1,5,2025-10-21,Account Maintenance,Medium,48,11.9,False,Resolved,Branch
245,SR-00000245,5404,11098,2,46,2023-10-05,Card Replacement,Medium,48,81.8,True,Resolved,Email
246,SR-00000246,4088,8365,3,111,2023-07-22,Digital Banking Support,Medium,48,24.9,False,Resolved,Mobile App
247,SR-00000247,1148,2359,4,156,2024-11-03,Digital Banking Support,Medium,48,100.2,True,Escalated,Phone
248,SR-00000248,6274,12895,1,33,2024-07-25,Digital Banking Support,High,24,18.6,False,Resolved,Mobile App
249,SR-00000249,4029,8240,2,69,2023-02-06,Dispute,Low,72,135.9,True,Resolved,Online Banking
250,SR-00000250,1750,3573,1,5,2023-07-17,Fraud Support,Low,72,116.1,True,Resolved,Branch
251,SR-00000251,2256,4612,1,14,2023-03-04,Digital Banking Support,Low,72,16.3,False,Resolved,Phone
252,SR-00000252,5694,11670,2,82,2023-02-23,Fraud Support,Low,72,49.6,False,Resolved,Branch
253,SR-00000253,3109,6350,2,85,2025-01-27,Card Replacement,Medium,48,19.3,False,Resolved,Online Banking
