target_id,branch_id,institution_id,date_key,month_end_date,deposit_balance_target,loan_originations_target,new_accounts_target,service_sla_target
37,2,1,20250131,2025-01-31,2665063.05,609973.78,61,0.88
38,2,1,20250228,2025-02-28,2360487.62,100000.0,22,0.88
39,2,1,20250331,2025-03-31,1855296.66,1238372.62,21,0.88
40,2,1,20250430,2025-04-30,3045465.4,1671778.28,39,0.88
41,2,1,20250531,2025-05-31,1552884.86,845434.14,63,0.88
42,2,1,20250630,2025-06-30,2136542.32,795218.83,71,0.88
43,2,1,20250731,2025-07-31,2807976.75,880028.03,42,0.88
44,2,1,20250831,2025-08-31,2004413.1,1249496.08,39,0.88
45,2,1,20250930,2025-09-30,2975287.89,1820436.68,60,0.88
46,2,1,20251031,2025-10-31,2413598.26,1138147.4,60,0.88
47,2,1,20251130,2025-11-30,3640431.79,926232.15,51,0.88
48,2,1,20251231,2025-12-31,1940702.37,1290261.13,58,0.88
49,3,1,20240131,2024-01-31,3204169.14,1082488.63,79,0.88
50,3,1,20240229,2024-02-29,2917518.48,963913.92,37,0.88
51,3,1,20240331,2024-03-31,2574129.28,1910774.83,34,0.88
52,3,1,20240430,2024-04-30,2275606.94,1390844.11,50,0.88
53,3,1,20240531,2024-05-31,2586462.41,1018688.34,48,0.88
54,3,1,20240630,2024-06-30,3509453.85,1309544.2,76,0.88
55,3,1,20240731,2024-07-31,1656056.72,1340753.19,50,0.88
56,3,1,20240831,2024-08-31,1208061.85,886815.68,30,0.88
57,3,1,20240930,2024-09-30,3000801.39,1516755.81,37,0.88
58,3,1,20241031,2024-10-31,2071553.2,838049.44,40,0.88
59,3,1,20241130,2024-11-30,2305554.87,1476786.93,31,0.88
60,3,1,20241231,2024-12-31,2070293.94,1045181.73,28,0.88
61,3,1,20250131,2025-01-31,1542606.89,1589750.61,30,0.88
62,3,1,20250228,2025-02-28,2019406.15,1505226.32,54,0.88
63,3,1,20250331,2025-03-31,1268779.48,1027619.59,43,0.88
64,3,1,20250430,2025-04-30,2745330.52,997480.47,51,0.88
65,3,1,20250531,2025-05-31,2486723.63,1403328.46,73,0.88
66,3,1,20250630,2025-06-30,2544156.74,1599470.97,35,0.88
67,3,1,20250731,2025-07-31,3039154.58,942829.34,40,0.88
68,3,1,20250831,2025-08-31,2408144.79,750565.26,38,0.88
69,3,1,20250930,2025-09-30,3027418.73,1646387.8,35,0.88
70,3,1,20251031,2025-10-31,2949813.67,1584882.38,39,0.88
71,3,1,20251130,2025-11-30,3266215.05,876412.04,21,0.88
72,3,1,20251231,2025-12-31,2402348.24,1486473.19,39,0.88
73,4,1,20240131,2024-01-31,3860889.22,1364543.1,70,0.88
74,4,1,20240229,2024-02-29,2786017.94,1120997.08,32,0.88
75,4,1,20240331,2024-03-31,2911596.48,1530110.0,10,0.88
76,4,1,20240430,2024-04-30,2249904.5,1003936.35,39,0.88
77,4,1,20240531,2024-05-31,3135510.16,1587270.85,68,0.88
78,4,1,20240630,2024-06-30,2534981.44,2049462.15,69,0.88
79,4,1,20240731,2024-07-31,2963905.43,997028.87,36,0.88
80,4,1,20240831,2024-08-31,2923296.98,1037282.55,33,0.88
81,4,1,20240930,2024-09-30,3137407.61,1344894.71,61,0.88
82,4,1,20241031,2024-10-31,1618588.04,991105.53,63,0.88
83,4,1,20241130,2024-11-30,1533225.1,977932.66,37,0.88
84,4,1,20241231,2024-12-31,2582442.43,953157.98,40,0.88
85,4,1,20250131,2025-01-31,3129432.11,1378092.8,39,0.88
86,4,1,20250228,2025-02-28,2233027.93,1306897.68,50,0.88
87,4,1,20250331,2025-03-31,3219457.75,1807386.98,29,0.88
88,4,1,20250430,2025-04-30,3261821.05,1058026.38,35,0.88
89,4,1,20250531,2025-05-31,1679086.12,965549.05,48,0.88
90,4,1,20250630,2025-06-30,3611625.3,649603.41,33,0.88
91,4,1,20250731,2025-07-31,1885301.99,732649.09,45,0.88
92,4,1,20250831,2025-08-31,1227528.65,1458749.52,46,0.88
93,4,1,20250930,2025-09-30,2317311.27,194272.22,56,0.88
94,4,1,20251031,2025-10-31,2717523.16,827727.47,50,0.88
95,4,1,20251130,2025-11-30,3509054.21,1152714.66,45,0.88
96,4,1,20251231,2025-12-31,1732124.05,1747495.81,54,0.88
97,5,1,20240131,2024-01-31,1939930.84,831905.08,33,0.88
98,5,1,20240229,2024-02-29,2257009.85,1171215.22,61,0.88
99,5,1,20240331,2024-03-31,2327817.37,1135573.95,52,0.88
100,5,1,20240430,2024-04-30,2980393.82,1044259.25,17,0.88
101,5,1,20240531,2024-05-31,2094708.98,1228570.84,10,0.88
102,5,1,20240630,2024-06-30,2897645.23,712703.75,60,0.88
103,5,1,20240731,2024-07-31,1400487.29,1160955.56,36,0.88
104,5,1,20240831,2024-08-31,2767846.67,1346371.13,32,0.88
105,5,1,20240930,2024-09-30,1778913.05,1239465.62,31,0.88
106,5,1,20241031,2024-10-31,2781072.73,1419881.74,54,0.88
107,5,1,20241130,2024-11-30,2449876.98,1479808.12,62,0.88
108,5,1,20241231,2024-12-31,3710847.45,1833009.16,38,0.88
109,5,1,20250131,2025-01-31,3684671.46,1010326.67,45,0.88
110,5,1,20250228,2025-02-28,2447282.37,787892.26,47,0.88
111,5,1,20250331,2025-03-31,2019978.19,710024.58,46,0.88
112,5,1,20250430,2025-04-30,3542895.38,1196060.87,47,0.88
113,5,1,20250531,2025-05-31,2275622.85,1580086.33,35,0.88
114,5,1,20250630,2025-06-30,2299148.59,1056686.5,37,0.88
115,5,1,20250731,2025-07-31,3055610.12,1286310.83,88,0.88
116,5,1,20250831,2025-08-31,2542869.65,787831.32,33,0.88
117,5,1,20250930,2025-09-30,2618994.55,1842162.99,28,0.88
118,5,1,20251031,2025-10-31,1695220.43,1549240.55,48,0.88
119,5,1,20251130,2025-11-30,1778711.27,1386384.66,54,0.88
120,5,1,20251231,2025-12-31,2446241.38,757354.39,46,0.88
121,6,1,20240131,2024-01-31,1577216.65,1031442.89,59,0.88
122,6,1,20240229,2024-02-29,2497547.51,1371742.86,44,0.88
123,6,1,20240331,2024-03-31,2500252.09,892290.66,50,0.88
124,6,1,20240430,2024-04-30,2669950.09,1140415.94,23,0.88
125,6,1,20240531,2024-05-31,3295654.19,1108739.79,64,0.88
126,6,1,20240630,2024-06-30,3174194.59,1229367.08,10,0.88
127,6,1,20240731,2024-07-31,2521196.66,1848595.2,64,0.88
128,6,1,20240831,2024-08-31,2204248.07,777643.64,74,0.88
129,6,1,20240930,2024-09-30,2274070.24,1306933.27,44,0.88
130,6,1,20241031,2024-10-31,2648842.25,1095265.77,55,0.88
131,6,1,20241130,2024-11-30,2746769.05,1787852.94,36,0.88
132,6,1,20241231,2024-12-31,2407555.91,898062.04,73,0.88
133,6,1,20250131,2025-01-31,2295736.21,1309461.14,28,0.88
134,6,1,20250228,2025-02-28,2701409.29,791645.3,49,0.88
135,6,1,20250331,2025-03-31,2220945.02,1367527.47,48,0.88
136,6,1,20250430,2025-04-30,2266403.89,1384944.68,42,0.88
137,6,1,20250531,2025-05-31,4500413.34,156081.68,53,0.88
138,6,1,20250630,2025-06-30,2449166.48,917187.61,41,0.88
139,6,1,20250731,2025-07-31,2850872.49,1156333.37,38,0.88
140,6,1,20250831,2025-08-31,2685415.79,1652033.12,67,0.88
141,6,1,20250930,2025-09-30,3477187.82,896628.76,79,0.88
142,6,1,20251031,2025-10-31,1730008.84,901250.04,26,0.88
143,6,1,20251130,2025-11-30,2295771.44,1758683.93,20,0.88
144,6,1,20251231,2025-12-31,3248744.33,723065.58,23,0.88
145,7,1,20240131,2024-01-31,1585870.49,1482908.94,36,0.88
146,7,1,20240229,2024-02-29,2044388.18,853605.55,8,0.88
147,7,1,20240331,2024-03-31,4082676.1,705179.38,53,0.88
148,7,1,20240430,2024-04-30,2143866.25,1251887.94,51,0.88
149,7,1,20240531,2024-05-31,1814553.5,885424.01,42,0.88
150,7,1,20240630,2024-06-30,2918616.52,928299.97,46,0.88
151,7,1,20240731,2024-07-31,2911142.75,1426814.67,51,0.88
152,7,1,20240831,2024-08-31,1445375.44,1255540.92,63,0.88
153,7,1,20240930,2024-09-30,2177408.94,1100746.03,47,0.88
154,7,1,20241031,2024-10-31,2289672.57,1350670.85,56,0.88
155,7,1,20241130,2024-11-30,3409154.83,912875.46,33,0.88
156,7,1,20241231,2024-12-31,1495397.04,1264231.76,41,0.88
157,7,1,20250131,2025-01-31,2487499.71,1101054.47,55,0.88
158,7,1,20250228,2025-02-28,3145195.2,1058331.43,34,0.88
159,7,1,20250331,2025-03-31,2260325.44,997968.98,60,0.88
160,7,1,20250430,2025-04-30,2660281.33,1572483.54,41,0.88
161,7,1,20250531,2025-05-31,2597529.99,1398905.56,55,0.88
162,7,1,20250630,2025-06-30,3421472.37,1180278.95,63,0.88
163,7,1,20250731,2025-07-31,3213715.69,1639341.12,58,0.88
164,7,1,20250831,2025-08-31,1957440.55,687056.85,60,0.88
165,7,1,20250930,2025-09-30,798677.69,757282.31,57,0.88
166,7,1,20251031,2025-10-31,3099389.79,1042931.95,54,0.88
167,7,1,20251130,2025-11-30,3618086.65,1707075.69,32,0.88
168,7,1,20251231,2025-12-31,1846258.79,1415979.52,36,0.88
169,8,1,20240131,2024-01-31,1103225.8,843274.74,52,0.88
170,8,1,20240229,2024-02-29,3854616.28,1934573.15,44,0.88
171,8,1,20240331,2024-03-31,3704502.16,1268942.66,34,0.88
172,8,1,20240430,2024-04-30,1856951.22,1046963.25,29,0.88
173,8,1,20240531,2024-05-31,1532831.16,1453669.67,23,0.88
174,8,1,20240630,2024-06-30,2923046.98,1048165.36,31,0.88
175,8,1,20240731,2024-07-31,2867754.18,1405962.99,73,0.88
176,8,1,20240831,2024-08-31,3257345.2,639941.22,66,0.88
177,8,1,20240930,2024-09-30,2643648.31,1262560.47,32,0.88
178,8,1,20241031,2024-10-31,2694256.41,1420946.02,23,0.88
179,8,1,20241130,2024-11-30,3065164.27,1150285.79,55,0.88
180,8,1,20241231,2024-12-31,2030392.14,1323675.16,40,0.88
181,8,1,20250131,2025-01-31,3547857.76,223337.06,68,0.88
182,8,1,20250228,2025-02-28,2627630.67,1345600.0,51,0.88
183,8,1,20250331,2025-03-31,1718448.66,1244123.59,75,0.88
184,8,1,20250430,2025-04-30,2045620.28,1059063.03,47,0.88
185,8,1,20250531,2025-05-31,2448246.59,1141891.08,69,0.88
186,8,1,20250630,2025-06-30,3364448.03,714094.21,37,0.88
187,8,1,20250731,2025-07-31,2780532.11,1254425.63,44,0.88
188,8,1,20250831,2025-08-31,1184203.19,885730.08,39,0.88
189,8,1,20250930,2025-09-30,2776431.41,1492837.83,32,0.88
190,8,1,20251031,2025-10-31,2673815.77,1609975.26,65,0.88
191,8,1,20251130,2025-11-30,1783948.63,1416704.37,38,0.88
192,8,1,20251231,2025-12-31,2493061.59,353336.06,53,0.88
193,9,1,20240131,2024-01-31,2575334.2,921467.69,29,0.88
194,9,1,20240229,2024-02-29,2690430.17,1024536.5,35,0.88
195,9,1,20240331,2024-03-31,2473261.88,1139182.07,37,0.88
196,9,1,20240430,2024-04-30,1090703.64,634500.31,53,0.88
197,9,1,20240531,2024-05-31,2439377.62,693612.48,26,0.88
198,9,1,20240630,2024-06-30,3428837.47,1147744.84,45,0.88
199,9,1,20240731,2024-07-31,2251763.95,1371778.38,73,0.88
200,9,1,20240831,2024-08-31,2889404.58,962538.7,44,0.88
201,9,1,20240930,2024-09-30,3361810.35,941819.53,78,0.88
202,9,1,20241031,2024-10-31,1818859.8,551814.89,39,0.88
203,9,1,20241130,2024-11-30,2625426.83,1149301.92,46,0.88
204,9,1,20241231,2024-12-31,2219388.63,1189010.12,43,0.88
205,9,1,20250131,2025-01-31,3560339.08,1040560.21,45,0.88
206,9,1,20250228,2025-02-28,3147882.14,824814.41,32,0.88
207,9,1,20250331,2025-03-31,1824671.76,702729.49,48,0.88
208,9,1,20250430,2025-04-30,1754686.47,1351138.9,59,0.88
209,9,1,20250531,2025-05-31,1399410.88,752319.67,43,0.88
210,9,1,20250630,2025-06-30,2581934.87,870785.42,36,0.88
211,9,1,20250731,2025-07-31,1165549.34,990242.77,39,0.88
212,9,1,20250831,2025-08-31,3540919.39,1022779.61,42,0.88
213,9,1,20250930,2025-09-30,3000193.44,1494589.28,38,0.88
214,9,1,20251031,2025-10-31,2098889.58,591221.24,65,0.88
215,9,1,20251130,2025-11-30,1639093.33,967769.51,46,0.88
216,9,1,20251231,2025-12-31,1427985.85,1203285.09,39,0.88
217,10,1,20240131,2024-01-31,3386867.89,1491010.73,38,0.88
218,10,1,20240229,2024-02-29,3290728.69,953644.11,18,0.88
219,10,1,20240331,2024-03-31,3256973.3,1575984.47,43,0.88
220,10,1,20240430,2024-04-30,1162436.89,1265958.95,51,0.88
221,10,1,20240531,2024-05-31,2846788.09,1475882.66,22,0.88
222,10,1,20240630,2024-06-30,2612865.51,1423015.59,45,0.88
223,10,1,20240731,2024-07-31,3701759.82,1117639.37,47,0.88
224,10,1,20240831,2024-08-31,3940480.68,894114.97,18,0.88
225,10,1,20240930,2024-09-30,4897235.91,1250976.54,41,0.88
226,10,1,20241031,2024-10-31,2273232.44,1561913.4,37,0.88
227,10,1,20241130,2024-11-30,2144851.63,1509086.63,31,0.88
228,10,1,20241231,2024-12-31,2980967.79,1241070.7,47,0.88
229,10,1,20250131,2025-01-31,377821.85,975355.78,29,0.88
230,10,1,20250228,2025-02-28,3116394.79,1016507.63,48,0.88
231,10,1,20250331,2025-03-31,2925766.55,1171124.16,14,0.88
232,10,1,20250430,2025-04-30,2506364.13,1732947.61,65,0.88
233,10,1,20250531,2025-05-31,2088237.27,1593329.5,43,0.88
234,10,1,20250630,2025-06-30,3668989.83,1102892.71,65,0.88
235,10,1,20250731,2025-07-31,2406011.49,1061961.77,68,0.88
236,10,1,20250831,2025-08-31,1972041.99,1625638.9,26,0.88
237,10,1,20250930,2025-09-30,3095609.27,1127831.27,22,0.88
238,10,1,20251031,2025-10-31,3820440.73,1421851.53,37,0.88
239,10,1,20251130,2025-11-30,2090144.28,978004.5,39,0.88
240,10,1,20251231,2025-12-31,3372240.91,1477196.2,82,0.88
241,11,1,20240131,2024-01-31,3297165.61,1230659.8,44,0.88
242,11,1,20240229,2024-02-29,2368566.36,1259807.6,55,0.88
243,11,1,20240331,2024-03-31,1511274.72,1857202.38,40,0.88
244,11,1,20240430,2024-04-30,1823155.27,1342947.39,44,0.88
245,11,1,20240531,2024-05-31,2606772.1,1003879.82,87,0.88
246,11,1,20240630,2024-06-30,2793868.43,1001649.64,29,0.88
247,11,1,20240731,2024-07-31,1917802.52,666705.81,65,0.88
248,11,1,20240831,2024-08-31,2841235.9,1322988.86,66,0.88
249,11,1,20240930,2024-09-30,2519325.16,1374905.9,39,0.88
250,11,1,20241031,2024-10-31,1353279.87,1284194.65,29,0.88
251,11,1,20241130,2024-11-30,1784250.71,1658649.8,30,0.88
252,11,1,20241231,2024-12-31,1106440.25,1232034.74,34,0.88
253,11,1,20250131,2025-01-31,1005526.27,1288291.75,50,0.88
254,11,1,20250228,2025-02-28,2230458.87,1675173.81,60,0.88
255,11,1,20250331,2025-03-31,3543154.55,1387860.51,40,0.88
256,11,1,20250430,2025-04-30,3026223.22,997913.61,49,0.88
257,11,1,20250531,2025-05-31,3777027.98,1382425.09,50,0.88
258,11,1,20250630,2025-06-30,2947786.2,479737.26,56,0.88
259,11,1,20250731,2025-07-31,2572230.01,1869828.26,31,0.88
260,11,1,20250831,2025-08-31,2736560.98,1354696.69,21,0.88
261,11,1,20250930,2025-09-30,1107298.5,904755.19,32,0.88
262,11,1,20251031,2025-10-31,2402832.11,1828522.54,62,0.88
263,11,1,20251130,2025-11-30,3113032.3,1717115.78,32,0.88
264,11,1,20251231,2025-12-31,2363813.76,1296651.74,40,0.88
265,12,1,20240131,2024-01-31,2770461.05,1503376.64,27,0.88
266,12,1,20240229,2024-02-29,3074305.66,1004248.27,47,0.88
267,12,1,20240331,2024-03-31,1997105.59,843734.0,5,0.88
268,12,1,20240430,2024-04-30,3562331.23,1564632.59,43,0.88
269,12,1,20240531,2024-05-31,2299988.22,1775291.82,29,0.88
270,12,1,20240630,2024-06-30,2499577.07,1435113.22,58,0.88
271,12,1,20240731,2024-07-31,1177320.17,1643897.96,37,0.88
272,12,1,20240831,2024-08-31,3716339.68,1464846.96,49,0.88
273,12,1,20240930,2024-09-30,2611805.73,1225372.4,32,0.88
274,12,1,20241031,2024-10-31,2022791.82,1384597.33,46,0.88
275,12,1,20241130,2024-11-30,3321018.42,1018136.42,34,0.88
276,12,1,20241231,2024-12-31,3024039.26,1545047.19,53,0.88
277,12,1,20250131,2025-01-31,1424514.3,1267151.88,35,0.88
278,12,1,20250228,2025-02-28,3347191.6,325381.85,49,0.88
279,12,1,20250331,2025-03-31,1700401.64,1820907.29,29,0.88
280,12,1,20250430,2025-04-30,1895930.46,1371936.36,56,0.88
281,12,1,20250531,2025-05-31,1987515.79,1364083.71,44,0.88
282,12,1,20250630,2025-06-30,3095321.94,838901.38,11,0.88
283,12,1,20250731,2025-07-31,3953078.81,991041.38,33,0.88
284,12,1,20250831,2025-08-31,3250173.31,1363117.34,19,0.88
285,12,1,20250930,2025-09-30,2799258.07,697144.82,25,0.88
286,12,1,20251031,2025-10-31,1972576.2,1537901.41,47,0.88
287,12,1,20251130,2025-11-30,2236199.05,1125471.41,45,0.88
288,12,1,20251231,2025-12-31,3525956.55,1101829.9,67,0.88
289,13,1,20240131,2024-01-31,2867456.55,1468379.92,26,0.88
290,13,1,20240229,2024-02-29,2353364.33,1275668.29,50,0.88
291,13,1,20240331,2024-03-31,1315823.09,1506779.96,38,0.88
292,13,1,20240430,2024-04-30,2141659.54,1178723.68,35,0.88
293,13,1,20240531,2024-05-31,2460559.12,1573742.51,67,0.88
294,13,1,20240630,2024-06-30,2369803.07,1248632.82,52,0.88
295,13,1,20240731,2024-07-31,1129613.43,1563963.19,59,0.88
296,13,1,20240831,2024-08-31,2118900.92,1657775.25,41,0.88
297,13,1,20240930,2024-09-30,2138757.58,1267979.1,44,0.88
298,13,1,20241031,2024-10-31,3219508.14,1560947.13,36,0.88
299,13,1,20241130,2024-11-30,3562937.95,532053.32,45,0.88
300,13,1,20241231,2024-12-31,2877473.08,1433450.22,40,0.88
301,13,1,20250131,2025-01-31,2653731.91,1624405.39,29,0.88
302,13,1,20250228,2025-02-28,3783220.62,1698208.11,36,0.88
303,13,1,20250331,2025-03-31,2440304.77,1462559.31,77,0.88
304,13,1,20250430,2025-04-30,3968069.05,1512573.62,30,0.88
305,13,1,20250531,2025-05-31,3032881.43,718510.66,70,0.88
306,13,1,20250630,2025-06-30,2711711.75,1477567.81,60,0.88
307,13,1,20250731,2025-07-31,1582075.96,678026.26,45,0.88
308,13,1,20250831,2025-08-31,3038789.14,1645011.97,34,0.88
309,13,1,20250930,2025-09-30,1356361.57,1486350.57,58,0.88
310,13,1,20251031,2025-10-31,2356213.32,854976.98,35,0.88
311,13,1,20251130,2025-11-30,2379039.22,1187810.48,39,0.88
312,13,1,20251231,2025-12-31,2158445.61,951970.1,31,0.88
313,14,1,20240131,2024-01-31,2198386.28,1619059.34,57,0.88
314,14,1,20240229,2024-02-29,3477696.15,1346487.13,34,0.88
315,14,1,20240331,2024-03-31,1463014.27,1283494.46,57,0.88
316,14,1,20240430,2024-04-30,2090840.76,918176.33,35,0.88
317,14,1,20240531,2024-05-31,2659112.15,899936.27,52,0.88
318,14,1,20240630,2024-06-30,3508726.41,1172051.22,58,0.88
319,14,1,20240731,2024-07-31,1848244.48,1322861.04,65,0.88
320,14,1,20240831,2024-08-31,1261798.55,1070698.42,23,0.88
321,14,1,20240930,2024-09-30,2054881.81,1452063.47,59,0.88
322,14,1,20241031,2024-10-31,3201183.98,1219329.96,22,0.88
323,14,1,20241130,2024-11-30,3062263.64,1352115.79,59,0.88
324,14,1,20241231,2024-12-31,2145198.01,1502892.81,28,0.88
325,14,1,20250131,2025-01-31,2905625.23,1102692.08,43,0.88
326,14,1,20250228,2025-02-28,2466160.73,1436214.09,64,0.88
327,14,1,20250331,2025-03-31,2425265.75,851284.88,46,0.88
328,14,1,20250430,2025-04-30,2076078.57,776771.13,43,0.88
329,14,1,20250531,2025-05-31,1424341.66,827250.46,17,0.88
330,14,1,20250630,2025-06-30,2222083.97,1011961.69,29,0.88
331,14,1,20250731,2025-07-31,2200265.26,1121359.85,73,0.88
332,14,1,20250831,2025-08-31,3193901.29,1145401.3,19,0.88
333,14,1,20250930,2025-09-30,2159946.74,1783987.66,42,0.88
334,14,1,20251031,2025-10-31,2633839.23,1402389.14,46,0.88
335,14,1,20251130,2025-11-30,2251826.18,1446937.7,51,0.88
336,14,1,20251231,2025-12-31,3487124.16,1052454.75,48,0.88
337,15,1,20240131,2024-01-31,3681597.78,1223069.62,56,0.88
338,15,1,20240229,2024-02-29,1605808.94,1182171.75,32,0.88
339,15,1,20240331,2024-03-31,3146035.51,1161770.71,47,0.88
340,15,1,20240430,2024-04-30,2517465.81,1004834.74,22,0.88
341,15,1,20240531,2024-05-31,2078923.52,1024912.55,55,0.88
342,15,1,20240630,2024-06-30,2227019.78,348785.36,39,0.88
343,15,1,20240731,2024-07-31,2842684.53,1540804.68,45,0.88
344,15,1,20240831,2024-08-31,1472838.74,1344529.67,22,0.88
345,15,1,20240930,2024-09-30,2316658.16,720813.42,39,0.88
346,15,1,20241031,2024-10-31,3394535.78,1318312.44,66,0.88
347,15,1,20241130,2024-11-30,3307188.61,1640938.1,44,0.88
348,15,1,20241231,2024-12-31,2074742.49,555873.07,26,0.88
349,15,1,20250131,2025-01-31,2659281.21,1445342.75,47,0.88
350,15,1,20250228,2025-02-28,2699835.21,1206302.06,71,0.88
351,15,1,20250331,2025-03-31,2067279.2,1473773.3,53,0.88
352,15,1,20250430,2025-04-30,3499224.14,989854.45,54,0.88
353,15,1,20250531,2025-05-31,2006566.88,1243799.5,74,0.88
354,15,1,20250630,2025-06-30,2631218.55,1696234.96,49,0.88
355,15,1,20250731,2025-07-31,1127440.45,1298112.91,68,0.88
356,15,1,20250831,2025-08-31,3355687.45,1248324.94,34,0.88
357,15,1,20250930,2025-09-30,2933200.52,1115226.09,54,0.88
358,15,1,20251031,2025-10-31,2984203.25,1370101.53,59,0.88
359,15,1,20251130,2025-11-30,2502101.64,1385430.12,61,0.88
360,15,1,20251231,2025-12-31,2520828.67,1316977.18,37,0.88
361,16,1,20240131,2024-01-31,2726257.12,1313132.72,50,0.88
362,16,1,20240229,2024-02-29,3380875.58,1473575.56,50,0.88
363,16,1,20240331,2024-03-31,3082017.7,1112431.72,5,0.88
364,16,1,20240430,2024-04-30,2047245.91,1500529.75,26,0.88
365,16,1,20240531,2024-05-31,2417262.56,1362849.46,15,0.88
366,16,1,20240630,2024-06-30,2582896.76,1323980.48,57,0.88
367,16,1,20240731,2024-07-31,2426571.5,229158.02,52,0.88
368,16,1,20240831,2024-08-31,4280290.23,1016063.34,42,0.88
369,16,1,20240930,2024-09-30,1560977.81,478898.35,51,0.88
370,16,1,20241031,2024-10-31,2694475.98,754950.22,40,0.88
371,16,1,20241130,2024-11-30,3234423.87,1292108.21,76,0.88
372,16,1,20241231,2024-12-31,2863403.19,1279577.37,57,0.88
373,16,1,20250131,2025-01-31,2302512.11,1574422.45,72,0.88
374,16,1,20250228,2025-02-28,2967588.34,1043344.28,32,0.88
375,16,1,20250331,2025-03-31,3124099.35,1577223.44,38,0.88
376,16,1,20250430,2025-04-30,2873645.94,1758049.45,38,0.88
377,16,1,20250531,2025-05-31,2783231.62,977537.03,47,0.88
378,16,1,20250630,2025-06-30,2012285.21,1391117.2,34,0.88
379,16,1,20250731,2025-07-31,2618028.27,752284.28,55,0.88
380,16,1,20250831,2025-08-31,2804181.52,1004245.95,49,0.88
381,16,1,20250930,2025-09-30,1808431.47,987988.56,52,0.88
382,16,1,20251031,2025-10-31,1837129.21,1519955.69,61,0.88
383,16,1,20251130,2025-11-30,2298774.94,1218080.84,27,0.88
384,16,1,20251231,2025-12-31,2364734.78,1134393.16,51,0.88
385,17,1,20240131,2024-01-31,2540856.15,695815.83,43,0.88
386,17,1,20240229,2024-02-29,2926412.58,547353.66,60,0.88
387,17,1,20240331,2024-03-31,3194978.97,1184780.39,69,0.88
388,17,1,20240430,2024-04-30,2246878.74,1021611.04,37,0.88
389,17,1,20240531,2024-05-31,907411.21,1317464.79,52,0.88
390,17,1,20240630,2024-06-30,2871830.75,1327521.89,31,0.88
391,17,1,20240731,2024-07-31,2125206.85,1019403.29,37,0.88
392,17,1,20240831,2024-08-31,2514583.26,1078519.08,39,0.88
393,17,1,20240930,2024-09-30,1928107.23,1673903.45,59,0.88
394,17,1,20241031,2024-10-31,1258347.12,1390148.1,50,0.88
395,17,1,20241130,2024-11-30,2893072.34,1565584.2,29,0.88
396,17,1,20241231,2024-12-31,1582550.37,1065031.75,69,0.88
397,17,1,20250131,2025-01-31,1249695.28,1608474.43,68,0.88
398,17,1,20250228,2025-02-28,2853374.68,1646807.04,37,0.88
399,17,1,20250331,2025-03-31,2413537.19,930961.66,42,0.88
