loan_payment_id,loan_id,account_id,customer_id,institution_id,date_key,due_date,paid_date,amount_due,amount_paid,days_late,principal_component,interest_component,payment_status
57,4,33,14,2,20240731,2024-07-31,2024-08-15,17948.27,17948.27,15,13482.46,4465.8,Paid
58,4,33,14,2,20240831,2024-08-31,2024-08-31,17948.27,17948.27,0,13603.55,4344.72,Paid
59,4,33,14,2,20240930,2024-09-30,2024-09-30,17948.27,17948.27,0,13725.72,4222.55,Paid
60,4,33,14,2,20241031,2024-10-31,2024-11-15,17948.27,17948.27,15,13848.99,4099.28,Paid
61,4,33,14,2,20241130,2024-11-30,2024-11-30,17948.27,17948.27,0,13973.36,3974.9,Paid
62,4,33,14,2,20241231,2024-12-31,2025-01-15,17948.27,17948.27,15,14098.85,3849.41,Paid
63,4,33,14,2,20250131,2025-01-31,2025-01-31,17948.27,17948.27,0,14225.47,3722.79,Paid
64,4,33,14,2,20250228,2025-02-28,2025-02-28,17948.27,17948.27,0,14353.23,3595.04,Paid
65,4,33,14,2,20250331,2025-03-31,2025-03-31,17948.27,17948.27,0,14482.13,3466.13,Paid
66,4,33,14,2,20250430,2025-04-30,2025-05-05,17948.27,17948.27,5,14612.2,3336.07,Paid
67,4,33,14,2,20250531,2025-05-31,2025-06-05,17948.27,17948.27,5,14743.42,3204.84,Paid
68,4,33,14,2,20250630,2025-06-30,2025-06-30,17948.27,17948.27,0,14875.83,3072.43,Paid
69,4,33,14,2,20250731,2025-07-31,2025-07-31,17948.27,17948.27,0,15009.43,2938.84,Paid
70,4,33,14,2,20250831,2025-08-31,2025-08-31,17948.27,17948.27,0,15144.23,2804.04,Paid
71,4,33,14,2,20250930,2025-09-30,2025-09-30,17948.27,17948.27,0,15280.24,2668.03,Paid
72,4,33,14,2,20251031,2025-10-31,2025-12-01,17948.27,17948.27,31,15417.46,2530.8,Partial
73,4,33,14,2,20251130,2025-11-30,2025-11-30,17948.27,17948.27,0,15555.93,2392.34,Paid
74,4,33,14,2,20251231,2025-12-31,2025-12-31,17948.27,17948.27,0,15695.63,2252.64,Paid
75,5,41,18,5,20230731,2023-07-31,2023-07-31,98.65,98.65,0,20.93,77.72,Paid
76,5,41,18,5,20230831,2023-08-31,2023-08-31,98.65,98.65,0,21.04,77.61,Paid
77,5,41,18,5,20230930,2023-09-30,2023-09-30,98.65,98.65,0,21.15,77.5,Paid
78,5,41,18,5,20231031,2023-10-31,2023-10-31,98.65,98.65,0,21.26,77.39,Paid
79,5,41,18,5,20231130,2023-11-30,2023-11-30,98.65,98.65,0,21.37,77.28,Paid
80,5,41,18,5,20231231,2023-12-31,2023-12-31,98.65,98.65,0,21.48,77.17,Paid
81,5,41,18,5,20240131,2024-01-31,2024-01-31,98.65,98.65,0,21.59,77.06,Paid
82,5,41,18,5,20240229,2024-02-29,2024-02-29,98.65,98.65,0,21.7,76.95,Paid
83,5,41,18,5,20240331,2024-03-31,2024-03-31,98.65,98.65,0,21.81,76.84,Paid
84,5,41,18,5,20240430,2024-04-30,2024-04-30,98.65,98.65,0,21.93,76.73,Paid
85,5,41,18,5,20240531,2024-05-31,2024-05-31,98.65,98.65,0,22.04,76.61,Paid
86,5,41,18,5,20240630,2024-06-30,2024-06-30,98.65,98.65,0,22.15,76.5,Paid
87,5,41,18,5,20240731,2024-07-31,2024-07-31,98.65,98.65,0,22.27,76.38,Paid
88,5,41,18,5,20240831,2024-08-31,2024-08-31,98.65,98.65,0,22.38,76.27,Paid
89,5,41,18,5,20240930,2024-09-30,2024-09-30,98.65,98.65,0,22.5,76.15,Paid
90,5,41,18,5,20241031,2024-10-31,2024-10-31,98.65,98.65,0,22.62,76.03,Paid
91,5,41,18,5,20241130,2024-11-30,2024-11-30,98.65,98.65,0,22.73,75.92,Paid
92,5,41,18,5,20241231,2024-12-31,2024-12-31,98.65,98.65,0,22.85,75.8,Paid
93,5,41,18,5,20250131,2025-01-31,2025-03-03,98.65,98.65,31,22.97,75.68,Paid
94,5,41,18,5,20250228,2025-02-28,2025-02-28,98.65,98.65,0,23.09,75.56,Paid
95,5,41,18,5,20250331,2025-03-31,2025-03-31,98.65,98.65,0,23.21,75.44,Paid
96,5,41,18,5,20250430,2025-04-30,2025-04-30,98.65,98.65,0,23.33,75.32,Paid
97,5,41,18,5,20250531,2025-05-31,2025-05-31,98.65,98.65,0,23.45,75.2,Paid
98,5,41,18,5,20250630,2025-06-30,2025-06-30,98.65,98.65,0,23.57,75.08,Paid
99,6,43,19,2,20250331,2025-03-31,2025-03-31,868.0,868.0,0,610.73,257.27,Paid
100,6,43,19,2,20250430,2025-04-30,2025-04-30,868.0,868.0,0,615.22,252.79,Paid
101,6,43,19,2,20250531,2025-05-31,2025-05-31,868.0,868.0,0,619.74,248.26,Paid
102,6,43,19,2,20250630,2025-06-30,2025-06-30,868.0,868.0,0,624.29,243.71,Paid
103,6,43,19,2,20250731,2025-07-31,2025-07-31,868.0,868.0,0,628.88,239.12,Paid
104,6,43,19,2,20250831,2025-08-31,2025-08-31,868.0,868.0,0,633.51,234.5,Paid
105,6,43,19,2,20250930,2025-09-30,2025-09-30,868.0,868.0,0,638.16,229.84,Paid
106,6,43,19,2,20251031,2025-10-31,2025-10-31,868.0,868.0,0,642.85,225.15,Paid
107,6,43,19,2,20251130,2025-11-30,2025-11-30,868.0,868.0,0,647.58,220.42,Paid
108,6,43,19,2,20251231,2025-12-31,2025-12-31,868.0,868.0,0,652.34,215.66,Paid
109,7,46,22,1,20250430,2025-04-30,2025-04-30,447.09,447.09,0,178.87,268.22,Paid
110,7,46,22,1,20250531,2025-05-31,2025-05-31,447.09,447.09,0,180.24,266.85,Paid
111,7,46,22,1,20250630,2025-06-30,2025-06-30,447.09,447.09,0,181.62,265.47,Paid
112,7,46,22,1,20250731,2025-07-31,2025-07-31,447.09,447.09,0,183.01,264.08,Paid
113,7,46,22,1,20250831,2025-08-31,2025-08-31,447.09,447.09,0,184.41,262.67,Paid
114,7,46,22,1,20250930,2025-09-30,2025-09-30,447.09,447.09,0,185.83,261.26,Paid
115,7,46,22,1,20251031,2025-10-31,2025-10-31,447.09,447.09,0,187.25,259.84,Paid
116,7,46,22,1,20251130,2025-11-30,2025-11-30,447.09,447.09,0,188.69,258.4,Paid
117,7,46,22,1,20251231,2025-12-31,2025-12-31,447.09,447.09,0,190.13,256.96,Paid
118,8,61,29,4,20250630,2025-06-30,2025-06-30,374.87,374.87,0,259.58,115.29,Paid
119,8,61,29,4,20250731,2025-07-31,2025-07-31,374.87,374.87,0,261.57,113.29,Paid
120,8,61,29,4,20250831,2025-08-31,2025-08-31,374.87,374.87,0,263.58,111.28,Paid
121,8,61,29,4,20250930,2025-09-30,2025-09-30,374.87,374.87,0,265.61,109.26,Paid
122,8,61,29,4,20251031,2025-10-31,2025-10-31,374.87,374.87,0,267.65,107.21,Paid
123,8,61,29,4,20251130,2025-11-30,2025-12-05,374.87,374.87,5,269.71,105.16,Paid
124,8,61,29,4,20251231,2025-12-31,2025-12-31,374.87,374.87,0,271.78,103.08,Paid
125,9,80,35,4,20250731,2025-07-31,2025-07-31,2664.08,2664.08,0,377.77,2286.31,Paid
126,9,80,35,4,20250831,2025-08-31,2025-08-31,2664.08,2664.08,0,380.24,2283.84,Paid
127,9,80,35,4,20250930,2025-09-30,2025-09-30,2664.08,2664.08,0,382.72,2281.36,Paid
128,9,80,35,4,20251031,2025-10-31,2025-10-31,2664.08,2664.08,0,385.23,2278.86,Paid
129,9,80,35,4,20251130,2025-11-30,2025-11-30,2664.08,2664.08,0,387.74,2276.34,Paid
130,9,80,35,4,20251231,2025-12-31,2025-12-31,2664.08,2664.08,0,390.27,2273.81,Paid
131,10,116,54,5,20240731,2024-07-31,2024-07-31,224.47,224.47,0,50.88,173.59,Paid
132,10,116,54,5,20240831,2024-08-31,2024-08-31,224.47,224.47,0,51.14,173.33,Paid
133,10,116,54,5,20240930,2024-09-30,2024-09-30,224.47,224.47,0,51.39,173.08,Paid
134,10,116,54,5,20241031,2024-10-31,2024-10-31,224.47,224.47,0,51.64,172.82,Paid
135,10,116,54,5,20241130,2024-11-30,2024-11-30,224.47,224.47,0,51.9,172.57,Paid
136,10,116,54,5,20241231,2024-12-31,2024-12-31,224.47,224.47,0,52.16,172.31,Paid
137,10,116,54,5,20250131,2025-01-31,2025-01-31,224.47,224.47,0,52.42,172.05,Paid
138,10,116,54,5,20250228,2025-02-28,2025-03-15,224.47,224.47,15,52.68,171.79,Paid
139,10,116,54,5,20250331,2025-03-31,2025-03-31,224.47,224.47,0,52.94,171.53,Paid
140,10,116,54,5,20250430,2025-04-30,2025-04-30,224.47,224.47,0,53.2,171.27,Paid
141,10,116,54,5,20250531,2025-05-31,2025-05-31,224.47,224.47,0,53.46,171.0,Paid
142,10,116,54,5,20250630,2025-06-30,2025-06-30,224.47,224.47,0,53.73,170.74,Paid
143,10,116,54,5,20250731,2025-07-31,2025-07-31,224.47,224.47,0,54.0,170.47,Paid
144,10,116,54,5,20250831,2025-08-31,2025-08-31,224.47,224.47,0,54.26,170.21,Paid
145,10,116,54,5,20250930,2025-09-30,2025-09-30,224.47,224.47,0,54.53,169.94,Paid
146,10,116,54,5,20251031,2025-10-31,2025-10-31,224.47,224.47,0,54.8,169.67,Paid
147,10,116,54,5,20251130,2025-11-30,2025-11-30,224.47,224.47,0,55.08,169.39,Paid
148,10,116,54,5,20251231,2025-12-31,2025-12-31,224.47,224.47,0,55.35,169.12,Paid
149,11,126,58,2,20241130,2024-11-30,2024-11-30,3485.6,3485.6,0,815.06,2670.54,Paid
150,11,126,58,2,20241231,2024-12-31,2024-12-31,3485.6,3485.6,0,819.02,2666.58,Paid
151,11,126,58,2,20250131,2025-01-31,2025-01-31,3485.6,3485.6,0,823.0,2662.6,Paid
152,11,126,58,2,20250228,2025-02-28,2025-02-28,3485.6,3485.6,0,826.99,2658.61,Paid
153,11,126,58,2,20250331,2025-03-31,2025-03-31,3485.6,3485.6,0,831.01,2654.59,Paid
154,11,126,58,2,20250430,2025-04-30,2025-04-30,3485.6,3485.6,0,835.04,2650.56,Paid
155,11,126,58,2,20250531,2025-05-31,2025-05-31,3485.6,3485.6,0,839.1,2646.5,Paid
156,11,126,58,2,20250630,2025-06-30,2025-06-30,3485.6,3485.6,0,843.17,2642.43,Paid
157,11,126,58,2,20250731,2025-07-31,2025-07-31,3485.6,3485.6,0,847.27,2638.33,Paid
158,11,126,58,2,20250831,2025-08-31,2025-08-31,3485.6,3485.6,0,851.38,2634.22,Paid
159,11,126,58,2,20250930,2025-09-30,2025-09-30,3485.6,3485.6,0,855.51,2630.08,Paid
160,11,126,58,2,20251031,2025-10-31,2025-11-05,3485.6,3485.6,5,859.67,2625.93,Paid
161,11,126,58,2,20251130,2025-11-30,2025-11-30,3485.6,3485.6,0,863.84,2621.76,Paid
162,11,126,58,2,20251231,2025-12-31,2025-12-31,3485.6,3485.6,0,868.04,2617.56,Paid
163,12,127,58,4,20230131,2023-01-31,2023-01-31,5778.43,5778.43,0,2913.43,2865.0,Paid
164,12,127,58,4,20230228,2023-02-28,2023-02-28,5778.43,5778.43,0,2937.28,2841.15,Paid
165,12,127,58,4,20230331,2023-03-31,2023-03-31,5778.43,5778.43,0,2961.32,2817.11,Paid
166,12,127,58,4,20230430,2023-04-30,2023-04-30,5778.43,5778.43,0,2985.56,2792.87,Paid
167,12,127,58,4,20230531,2023-05-31,2023-05-31,5778.43,5778.43,0,3010.0,2768.43,Paid
168,12,127,58,4,20230630,2023-06-30,2023-06-30,5778.43,5778.43,0,3034.64,2743.79,Paid
169,12,127,58,4,20230731,2023-07-31,2023-07-31,5778.43,5778.43,0,3059.48,2718.95,Paid
170,12,127,58,4,20230831,2023-08-31,2023-08-31,5778.43,5778.43,0,3084.52,2693.9,Paid
171,12,127,58,4,20230930,2023-09-30,2023-09-30,5778.43,5778.43,0,3109.77,2668.66,Paid
172,12,127,58,4,20231031,2023-10-31,2023-10-31,5778.43,5778.43,0,3135.23,2643.2,Paid
173,12,127,58,4,20231130,2023-11-30,2023-11-30,5778.43,5778.43,0,3160.89,2617.54,Paid
174,12,127,58,4,20231231,2023-12-31,2023-12-31,5778.43,5778.43,0,3186.77,2591.66,Paid
175,12,127,58,4,20240131,2024-01-31,2024-01-31,5778.43,5778.43,0,3212.85,2565.58,Paid
176,12,127,58,4,20240229,2024-02-29,2024-02-29,5778.43,5778.43,0,3239.15,2539.28,Paid
177,12,127,58,4,20240331,2024-03-31,2024-03-31,5778.43,5778.43,0,3265.67,2512.76,Paid
178,12,127,58,4,20240430,2024-04-30,2024-04-30,5778.43,5778.43,0,3292.4,2486.03,Paid
179,12,127,58,4,20240531,2024-05-31,2024-05-31,5778.43,5778.43,0,3319.35,2459.08,Paid
180,12,127,58,4,20240630,2024-06-30,2024-06-30,5778.43,5778.43,0,3346.52,2431.91,Paid
181,12,127,58,4,20240731,2024-07-31,2024-07-31,5778.43,5778.43,0,3373.92,2404.51,Paid
182,12,127,58,4,20240831,2024-08-31,2024-08-31,5778.43,5778.43,0,3401.53,2376.9,Paid
183,12,127,58,4,20240930,2024-09-30,2024-09-30,5778.43,5778.43,0,3429.38,2349.05,Paid
184,12,127,58,4,20241031,2024-10-31,2024-10-31,5778.43,5778.43,0,3457.45,2320.98,Paid
185,12,127,58,4,20241130,2024-11-30,2024-11-30,5778.43,5778.43,0,3485.75,2292.68,Paid
186,12,127,58,4,20241231,2024-12-31,2024-12-31,5778.43,5778.43,0,3514.28,2264.15,Paid
187,13,145,66,4,20230131,2023-01-31,2023-01-31,2275.3,2275.3,0,497.76,1777.55,Paid
188,13,145,66,4,20230228,2023-02-28,2023-03-31,2275.3,2275.3,31,500.29,1775.02,Partial
189,13,145,66,4,20230331,2023-03-31,2023-07-04,2275.3,322.5,95,0.0,322.5,Paid
190,13,145,66,4,20230430,2023-04-30,2023-07-01,2275.3,2275.3,62,502.83,1772.48,Partial
191,13,145,66,4,20230531,2023-05-31,2023-06-05,2275.3,2275.3,5,505.38,1769.92,Paid
192,13,145,66,4,20230630,2023-06-30,2023-07-15,2275.3,2275.3,15,507.95,1767.36,Paid
193,13,145,66,4,20230731,2023-07-31,2023-11-03,2275.3,1127.03,95,0.0,1127.03,Paid
194,13,145,66,4,20230831,2023-08-31,2023-08-31,2275.3,2275.3,0,510.53,1764.78,Paid
195,13,145,66,4,20230930,2023-09-30,2023-10-31,2275.3,2275.3,31,513.12,1762.19,Missed
196,13,145,66,4,20231031,2023-10-31,2023-11-05,2275.3,2275.3,5,515.73,1759.58,Paid
197,13,145,66,4,20231130,2023-11-30,2023-12-05,2275.3,2275.3,5,518.34,1756.96,Paid
198,13,145,66,4,20231231,2023-12-31,2024-01-15,2275.3,2275.3,15,520.98,1754.33,Paid
199,13,145,66,4,20240131,2024-01-31,2024-02-05,2275.3,2275.3,5,523.62,1751.68,Paid
200,13,145,66,4,20240229,2024-02-29,2024-06-03,2275.3,989.22,95,0.0,989.22,Partial
201,13,145,66,4,20240331,2024-03-31,2024-04-05,2275.3,2275.3,5,526.28,1749.02,Paid
202,13,145,66,4,20240430,2024-04-30,2024-07-01,2275.3,2275.3,62,528.96,1746.35,Paid
203,13,145,66,4,20240531,2024-05-31,2024-05-31,2275.3,2275.3,0,531.64,1743.66,Paid
204,13,145,66,4,20240630,2024-06-30,2024-08-31,2275.3,2275.3,62,534.34,1740.96,Paid
205,13,145,66,4,20240731,2024-07-31,2024-10-01,2275.3,2275.3,62,537.06,1738.25,Partial
206,13,145,66,4,20240831,2024-08-31,2024-10-01,2275.3,2275.3,31,539.78,1735.52,Paid
207,13,145,66,4,20240930,2024-09-30,2025-01-03,2275.3,434.11,95,0.0,434.11,Missed
208,13,145,66,4,20241031,2024-10-31,2025-01-01,2275.3,2275.3,62,542.52,1732.78,Partial
209,13,145,66,4,20241130,2024-11-30,2024-12-05,2275.3,2275.3,5,545.28,1730.02,Paid
210,13,145,66,4,20241231,2024-12-31,2024-12-31,2275.3,2275.3,0,548.05,1727.26,Paid
211,14,157,73,2,20230831,2023-08-31,2023-08-31,1122.99,1122.99,0,842.63,280.36,Paid
212,14,157,73,2,20230930,2023-09-30,2023-09-30,1122.99,1122.99,0,849.38,273.61,Paid
213,14,157,73,2,20231031,2023-10-31,2023-10-31,1122.99,1122.99,0,856.18,266.81,Paid
214,14,157,73,2,20231130,2023-11-30,2023-11-30,1122.99,1122.99,0,863.04,259.95,Paid
215,14,157,73,2,20231231,2023-12-31,2023-12-31,1122.99,1122.99,0,869.96,253.04,Paid
216,14,157,73,2,20240131,2024-01-31,2024-01-31,1122.99,1122.99,0,876.92,246.07,Paid
217,14,157,73,2,20240229,2024-02-29,2024-02-29,1122.99,1122.99,0,883.95,239.05,Paid
218,14,157,73,2,20240331,2024-03-31,2024-03-31,1122.99,1122.99,0,891.03,231.96,Paid
219,14,157,73,2,20240430,2024-04-30,2024-04-30,1122.99,1122.99,0,898.17,224.83,Paid
220,14,157,73,2,20240531,2024-05-31,2024-05-31,1122.99,1122.99,0,905.36,217.63,Paid
221,14,157,73,2,20240630,2024-06-30,2024-06-30,1122.99,1122.99,0,912.61,210.38,Paid
222,14,157,73,2,20240731,2024-07-31,2024-07-31,1122.99,1122.99,0,919.92,203.07,Paid
223,14,157,73,2,20240831,2024-08-31,2024-08-31,1122.99,1122.99,0,927.29,195.7,Paid
224,14,157,73,2,20240930,2024-09-30,2024-09-30,1122.99,1122.99,0,934.72,188.27,Paid
225,14,157,73,2,20241031,2024-10-31,2024-10-31,1122.99,1122.99,0,942.21,180.79,Paid
226,14,157,73,2,20241130,2024-11-30,2024-11-30,1122.99,1122.99,0,949.76,173.24,Paid
227,14,157,73,2,20241231,2024-12-31,2024-12-31,1122.99,1122.99,0,957.36,165.63,Paid
228,14,157,73,2,20250131,2025-01-31,2025-01-31,1122.99,1122.99,0,965.03,157.96,Paid
229,14,157,73,2,20250228,2025-02-28,2025-02-28,1122.99,1122.99,0,972.76,150.23,Paid
230,14,157,73,2,20250331,2025-03-31,2025-03-31,1122.99,1122.99,0,980.56,142.44,Paid
231,14,157,73,2,20250430,2025-04-30,2025-04-30,1122.99,1122.99,0,988.41,134.58,Paid
232,14,157,73,2,20250531,2025-05-31,2025-05-31,1122.99,1122.99,0,996.33,126.67,Paid
233,14,157,73,2,20250630,2025-06-30,2025-06-30,1122.99,1122.99,0,1004.31,118.69,Paid
234,14,157,73,2,20250731,2025-07-31,2025-07-31,1122.99,1122.99,0,1012.35,110.64,Paid
235,15,160,74,1,20231031,2023-10-31,2023-10-31,4743.06,4743.06,0,3666.31,1076.75,Paid
236,15,160,74,1,20231130,2023-11-30,2024-01-31,4743.06,4743.06,62,3692.63,1050.43,Paid
237,15,160,74,1,20231231,2023-12-31,2023-12-31,4743.06,4743.06,0,3719.13,1023.93,Paid
238,15,160,74,1,20240131,2024-01-31,2024-02-05,4743.06,4743.06,5,3745.83,997.23,Paid
239,15,160,74,1,20240229,2024-02-29,2024-02-29,4743.06,4743.06,0,3772.72,970.34,Paid
240,15,160,74,1,20240331,2024-03-31,2024-03-31,4743.06,4743.06,0,3799.8,943.26,Paid
241,15,160,74,1,20240430,2024-04-30,2024-04-30,4743.06,4743.06,0,3827.08,915.98,Paid
242,15,160,74,1,20240531,2024-05-31,2024-05-31,4743.06,4743.06,0,3854.55,888.51,Paid
243,15,160,74,1,20240630,2024-06-30,2024-06-30,4743.06,4743.06,0,3882.22,860.84,Paid
244,15,160,74,1,20240731,2024-07-31,2024-07-31,4743.06,4743.06,0,3910.09,832.97,Paid
245,15,160,74,1,20240831,2024-08-31,2024-08-31,4743.06,4743.06,0,3938.15,804.91,Paid
246,15,160,74,1,20240930,2024-09-30,2024-09-30,4743.06,4743.06,0,3966.42,776.64,Paid
247,15,160,74,1,20241031,2024-10-31,2024-10-31,4743.06,4743.06,0,3994.9,748.16,Paid
248,15,160,74,1,20241130,2024-11-30,2024-11-30,4743.06,4743.06,0,4023.57,719.49,Paid
249,15,160,74,1,20241231,2024-12-31,2025-03-03,4743.06,4743.06,62,4052.45,690.6,Paid
250,15,160,74,1,20250131,2025-01-31,2025-01-31,4743.06,4743.06,0,4081.54,661.51,Paid
251,15,160,74,1,20250228,2025-02-28,2025-02-28,4743.06,4743.06,0,4110.84,632.22,Paid
252,15,160,74,1,20250331,2025-03-31,2025-03-31,4743.06,4743.06,0,4140.35,602.71,Paid
253,15,160,74,1,20250430,2025-04-30,2025-04-30,4743.06,4743.06,0,4170.07,572.99,Paid
254,15,160,74,1,20250531,2025-05-31,2025-05-31,4743.06,4743.06,0,4200.01,543.05,Paid
255,15,160,74,1,20250630,2025-06-30,2025-07-15,4743.06,4743.06,15,4230.16,512.9,Paid
256,15,160,74,1,20250731,2025-07-31,2025-07-31,4743.06,4743.06,0,4260.52,482.54,Paid
257,15,160,74,1,20250831,2025-08-31,2025-08-31,4743.06,4743.06,0,4291.11,451.95,Paid
258,15,160,74,1,20250930,2025-09-30,2025-09-30,4743.06,4743.06,0,4321.91,421.15,Paid
259,16,170,80,1,20230131,2023-01-31,2023-01-31,149.57,149.57,0,40.54,109.03,Paid
260,16,170,80,1,20230228,2023-02-28,2023-02-28,149.57,149.57,0,40.71,108.86,Paid
261,16,170,80,1,20230331,2023-03-31,2023-03-31,149.57,149.57,0,40.89,108.68,Paid
262,16,170,80,1,20230430,2023-04-30,2023-04-30,149.57,149.57,0,41.07,108.5,Paid
263,16,170,80,1,20230531,2023-05-31,2023-05-31,149.57,149.57,0,41.25,108.32,Paid
264,16,170,80,1,20230630,2023-06-30,2023-06-30,149.57,149.57,0,41.43,108.14,Paid
265,16,170,80,1,20230731,2023-07-31,2023-07-31,149.57,149.57,0,41.61,107.96,Paid
266,16,170,80,1,20230831,2023-08-31,2023-08-31,149.57,149.57,0,41.79,107.78,Paid
267,16,170,80,1,20230930,2023-09-30,2023-09-30,149.57,149.57,0,41.97,107.6,Paid
